2010,Site Assessment,"12/802,231",Shade analysis device ,"Surrey, CA",CA,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=800&f=G&l=50&d=PG01&s1=((solar.CLM.+OR+photovoltaic.CLM.)+AND+((((((((mapping.CLM.+OR+estimation.CLM.)+OR+obstruction.CLM.)+OR+potential.CLM.)+OR+site.CLM.)+OR+terrain.CLM.)+OR+access.CLM.)+OR+azimuth.CLM.)+OR+survey.CLM.))&p=16&OS=+((ACLM/solar+OR+ACLM/photovoltaic)+AND+((((((((ACLM/mapping+OR+ACLM/estimation)+OR+ACLM/obstruction)+OR+ACLM/potential)+OR+ACLM/site)+OR+ACLM/terrain)+OR+ACLM/access)+OR+ACLM/azimuth)+OR+ACLM/survey))&RS=((ACLM/solar+OR+ACLM/photovoltaic)+AND+((((((((ACLM/mapping+OR+ACLM/estimation)+OR+ACLM/obstruction)+OR+ACLM/potential)+OR+ACLM/site)+OR+ACLM/terrain)+OR+ACLM/access)+OR+ACLM/azimuth)+OR+ACLM/survey))
2011,Site Assessment,"12/952,101",SOLAR ACCESS MEASUREMENT DEVICE,"Bolinas, CA",CA,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=626&f=G&l=50&d=PG01&s1=((solar.CLM.+OR+photovoltaic.CLM.)+AND+((((((((mapping.CLM.+OR+estimation.CLM.)+OR+obstruction.CLM.)+OR+potential.CLM.)+OR+site.CLM.)+OR+terrain.CLM.)+OR+access.CLM.)+OR+azimuth.CLM.)+OR+survey.CLM.))&p=13&OS=+((ACLM/solar+OR+ACLM/photovoltaic)+AND+((((((((ACLM/mapping+OR+ACLM/estimation)+OR+ACLM/obstruction)+OR+ACLM/potential)+OR+ACLM/site)+OR+ACLM/terrain)+OR+ACLM/access)+OR+ACLM/azimuth)+OR+ACLM/survey))&RS=((ACLM/solar+OR+ACLM/photovoltaic)+AND+((((((((ACLM/mapping+OR+ACLM/estimation)+OR+ACLM/obstruction)+OR+ACLM/potential)+OR+ACLM/site)+OR+ACLM/terrain)+OR+ACLM/access)+OR+ACLM/azimuth)+OR+ACLM/survey))
2012,Site Assessment,"13/198,611",Solar Energy Computation and Planning System ,"Salt Lake City, UT",UT,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=359&f=G&l=50&d=PG01&s1=((solar.CLM.+OR+photovoltaic.CLM.)+AND+((((((((mapping.CLM.+OR+estimation.CLM.)+OR+obstruction.CLM.)+OR+potential.CLM.)+OR+site.CLM.)+OR+terrain.CLM.)+OR+access.CLM.)+OR+azimuth.CLM.)+OR+survey.CLM.))&p=8&OS=+((ACLM/solar+OR+ACLM/photovoltaic)+AND+((((((((ACLM/mapping+OR+ACLM/estimation)+OR+ACLM/obstruction)+OR+ACLM/potential)+OR+ACLM/site)+OR+ACLM/terrain)+OR+ACLM/access)+OR+ACLM/azimuth)+OR+ACLM/survey))&RS=((ACLM/solar+OR+ACLM/photovoltaic)+AND+((((((((ACLM/mapping+OR+ACLM/estimation)+OR+ACLM/obstruction)+OR+ACLM/potential)+OR+ACLM/site)+OR+ACLM/terrain)+OR+ACLM/access)+OR+ACLM/azimuth)+OR+ACLM/survey))
2008,Site Assessment,"12/141,795 ","Systems and Methods for Solar mapping, Determining a Usable Area for Solar Energy Production and/or Providing Solar Information","Englewood, CO",CO,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220090177458%22.PGNR.&OS=DN/20090177458&RS=DN/20090177458
2012,Site Assessment,"13/256,134",SYSTEM FOR OPTIMIZING THE OPERATION OF SOLAR THERMAL ELECTRIC PLANTS ,Leganes,N/A,Spain,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=53&f=G&l=50&d=PG01&s1=((solar.CLM.+OR+photovoltaic.CLM.)+AND+((((((((mapping.CLM.+OR+estimation.CLM.)+OR+obstruction.CLM.)+OR+potential.CLM.)+OR+site.CLM.)+OR+terrain.CLM.)+OR+access.CLM.)+OR+azimuth.CLM.)+OR+survey.CLM.))&p=2&OS=+((ACLM/solar+OR+ACLM/photovoltaic)+AND+((((((((ACLM/mapping+OR+ACLM/estimation)+OR+ACLM/obstruction)+OR+ACLM/potential)+OR+ACLM/site)+OR+ACLM/terrain)+OR+ACLM/access)+OR+ACLM/azimuth)+OR+ACLM/survey))&RS=((ACLM/solar+OR+ACLM/photovoltaic)+AND+((((((((ACLM/mapping+OR+ACLM/estimation)+OR+ACLM/obstruction)+OR+ACLM/potential)+OR+ACLM/site)+OR+ACLM/terrain)+OR+ACLM/access)+OR+ACLM/azimuth)+OR+ACLM/survey))
2010,Solar  Monitoring; Solar Inverter,"12/862,205","GROUND-FAULT DETECTING DEVICE, CURRENT COLLECTING BOX USING THE GROUND-FAULT DETECTING DEVICE, AND PHOTOVOLTAIC POWER GENERATING DEVICE USING THE CURRENT COLLECTING BOX ",Moriguchi City,,Japan,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=2&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=70&f=G&l=50&co1=AND&d=PG01&s1=inverter.CLM.&s2=photovoltaic.CLM.&OS=ACLM/inverter+AND+ACLM/photovoltaic&RS=%28ACLM/inverter+AND+ACLM/photovoltai
2011,Solar Inverter,"13/232,544",METHOD AND ARRANGEMENT FOR TRACKING THE MAXIMUM POWER POINT OF A PHOTOVOLTAIC MODULE ,Zurich,,Switzerland,"http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=1&f=G&l=50&co1=AND&d=PG01&s1=""232,544"".APN.&OS=APN/""232,544""&RS=APN/""232,544"""
2012,Solar Inverter,"13/427,259",Method for searching global maximum power point,Zurich,,Switzerland,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220120242152%22.PGNR.&OS=DN/20120242152&RS=DN/20120242152
2010,Solar Inverter,12/917879,NON-ISOLATED DC-DC CONVERTER ASSEMBLY ,Zurich,,Switzerland,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=1&f=G&l=50&co1=AND&d=PG01&s1=917879.APN.&OS=APN/917879&RS=APN/917879
2010,Solar Inverter,"12/818,305",STARTUP SOURCE INVERTER,Dresden,,Germany,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=1&f=G&l=50&co1=AND&d=PG01&s1=818305.APN.&OS=APN/818305&RS=APN/818305
