2006,Solar Mounting/Rack,"11/400,022",Rooftop photovoltaic module,"Memphis, TN",TN,USA,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220060225780%22.PGNR.&OS=DN/20060225780&RS=DN/20060225780
2006,Solar Inverter,"11/400,720",Inverter power electronics design ,"Bend, OR",OR,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220060250828%22.PGNR.&OS=DN/20060250828&RS=DN/20060250828
2006,Solar Inverter,"11/400,786",Inverter operation modes,"Bend, OR",OR,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220060250783%22.PGNR.&OS=DN/20060250783&RS=DN/20060250783
2008,Solar Mounting/Rack,"11/465,787",METHODS AND DEVICES FOR LARGE-SCALE SOLAR INSTALLATIONS,"San Jose, CA",CA,USA,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220080041434%22.PGNR.&OS=DN/20080041434&RS=DN/20080041434
2007,Solar Mounting/Rack,"11/515,094",Double-jointed mounting for solar panel,"Roanoke, TX",TX,USA,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220070084500%22.PGNR.&OS=DN/20070084500&RS=DN/20070084500
2007,Solar Mounting/Rack,"11/533,094",Integrated Solar Roofing System,"Philadelphia, PA",PA,USA,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220070193618%22.PGNR.&OS=DN/20070193618&RS=DN/20070193618
2007,Solar Mounting/Rack,"11/558,659",Holding Element For Photovoltaic Modules,(Dusseldorf),N/A,Germany,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220070102038%22.PGNR.&OS=DN/20070102038&RS=DN/20070102038
2008,Solar Inverter,"11/560,186",Charge Controller for DC-DC Power Conversion,"(Redding, CT)",CT,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220080111517%22.PGNR.&OS=DN/20080111517&RS=DN/20080111517
2008,Solar Inverter,"11/564,313",CURRENT FED POWER CONVERTER SYSTEM INCLUDING NORMALLY-ON SWITCH,"Schenectady, NY",NY,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220080123373%22.PGNR.&OS=DN/20080123373&RS=DN/20080123373
2007,Solar Inverter,"11/581,062",Inverter operation modes,"Bend, OR",OR,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220070086215%22.PGNR.&OS=DN/20070086215&RS=DN/20070086215
2008,Solar Monitoring,"11/628,362","Sensor Device for Monitoring the Operation of a PV System, and PV System with Such a Sensor Device ",(Den Haag),N/A,Netherlands,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220080030354%22.PGNR.&OS=DN/20080030354&RS=DN/20080030354
2008,Solar Mounting/Rack,11/639428,Photovoltaic module utilizing a flex circuit for reconfiguration ,"Santa Clara, CA",CA,USA,"http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=2&f=G&l=50&co1=AND&d=PG01&s1=%22639,428%22.APN.&OS=APN/%22639,428%22&RS=APN/%22639,428%22"
2009,Solar Inverter,"11/664,741",Inverter,Hamburg,N/A,Germany,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220090003024%22.PGNR.&OS=DN/20090003024&RS=DN/20090003024
2008,Solar Monitoring,"11/673,649",SYSTEMS AND METHODS FOR PROVIDING RENEWABLE POWER SYSTEMS BY AGGREGATE COST AND USAGE ,"(Cold Spring, NY)",NY,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220080195561%22.PGNR.&OS=DN/20080195561&RS=DN/20080195561
2007,Solar Mounting/Rack,"11/711,522",Solar roof tile,London,N/A,Great Britain,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220070221266%22.PGNR.&OS=DN/20070221266&RS=DN/20070221266
2008,Solar Monitoring,"11/764,804",SOLAR POWER SUPPLY WITH MONITORING AND COMMUNICATIONS ,"(San Mateo, CA)",CA,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220080084178%22.PGNR.&OS=DN/20080084178&RS=DN/20080084178
2008,Solar Inverter,"11/765,991",INTEGRATED CONCENTRATOR PHOTOVOLTAICS AND WATER HEATER,"(San Jose, CA)",CA,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220080314438%22.PGNR.&OS=DN/20080314438&RS=DN/20080314438
2009,Solar Monitoring,"11/777,391",PHOTOVOLTAIC MODULES WITH INTEGRATED DEVICES,"(Menlo Park, CA)",CA,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220090014057%22.PGNR.&OS=DN/20090014057&RS=DN/20090014057
2009,Solar Mounting/Rack,"11/777,397",Rooftop photovoltaic systems,"Santa Clara, CA",CA,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220090014058%22.PGNR.&OS=DN/20090014058&RS=DN/20090014058
2008,Solar Mounting/Rack,"11/780,721",Solar Panel Roof Kit ,"Rochester, MI",MI,USA,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220080190047%22.PGNR.&OS=DN/20080190047&RS=DN/20080190047
2008,Solar Monitoring,"11/789,014",Multimode power module ,"(Carlsbad, CA)",CA,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220080258675%22.PGNR.&OS=DN/20080258675&RS=DN/20080258675
2008,Solar Mounting/Rack,"11/804,697",Supporting a solar energy collection device,(London),N/A,Great Britain,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220080029144%22.PGNR.&OS=DN/20080029144&RS=DN/20080029144
2007,Solar Mounting/Rack,"11/804,698",Solar panel roof mounting system,(London),N/A,Great Britain,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220070266672%22.PGNR.&OS=DN/20070266672&RS=DN/20070266672
2009,Solar Mounting/Rack,"11/842,484",SUPPORT SYSTEM FOR A PHOTOVOLTAIC SYSTEM,"LaJolla, CA",CA,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220090050194%22.PGNR.&OS=DN/20090050194&RS=DN/20090050194
2008,Solar Mounting/Rack,"11/848,766",TECHNIQUE FOR ELECTRICALLY BONDING SOLAR MODULES AND MOUNTING ASSEMBLIES,"Berkeley, CA",CA,USA,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220080053517%22.PGNR.&OS=DN/20080053517&RS=DN/20080053517
2009,Solar Inverter,"11/855,390",Low Voltage Energy System ,"(San Jose, CA)",CA,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220090072779%22.PGNR.&OS=DN/20090072779&RS=DN/20090072779
2009,Solar Mounting/Rack,"11/859,724",MOUNTING SYSTEM FOR SOLAR PANELS,"Los Gatos, CA",CA,USA,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220090078299%22.PGNR.&OS=DN/20090078299&RS=DN/20090078299
2008,Solar Monitoring,"11/875,799",Method and System to Provide a Distributed Local Energy Production System with High-Voltage DC Bus ,"Cupertino, CA",CA,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220080097655%22.PGNR.&OS=DN/20080097655&RS=DN/20080097655
2009,Solar Inverter,"11/879,054",Method and apparatus for converting a direct current to alternating current utilizing a plurality of inverters ,"Petaluma, CA",CA,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220090020151%22.PGNR.&OS=DN/20090020151&RS=DN/20090020151
2010,Solar Monitoring,"11/913,310 ",Energy Generating Device and Method,London,N/A,Great Britain,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220100224227%22.PGNR.&OS=DN/20100224227&RS=DN/20100224227
