H02J 7/34 (20130101); H02M 1/34 (20130101); H02M 3/155 (20130101); H02M 3/158 (20130101); H02M 2001/342 (20130101); Y02B 70/1491 (20130101)
H02J 7/35 (20130101); Y02E 10/58 (20130101)
H01L 31/0428 (20130101); H01L 31/0483 (20130101); H01L 31/0586 (20130101); E04D 2001/308 (20130101); E04F 2290/026 (20130101); Y02B 10/12 (20130101); Y02B 10/14 (20130101); Y02B 10/20 (20130101); Y02B 10/70 (20130101); Y02E 10/50 (20130101)
F24J 2/5237 (20130101); H01L 31/0422 (20130101); F24J 2002/4687 (20130101); F24J 2002/5292 (20130101); Y02E 10/47 (20130101); Y02E 10/50 (20130101)
H02J 3/382 (20130101); H02M 5/4585 (20130101); H02M 7/797 (20130101); Y02B 10/14 (20130101); Y02E 10/563 (20130101)
H02J 3/382 (20130101); H02J 9/062 (20130101); H02J 7/35 (20130101); Y02B 10/14 (20130101); Y02B 10/72 (20130101)
G01D 4/008 (20130101); G06Q 50/06 (20130101); Y02B 90/247 (20130101); Y04S 20/46 (20130101); Y04S 20/50 (20130101)
E06B 1/6015 (20130101); E06B 3/5842 (20130101); F24J 2/464 (20130101); F24J 2/465 (20130101); F24J 2/5211 (20130101); F24J 2/5243 (20130101); F24J 2/5254 (20130101); H01L 31/0422 (20130101); H01L 31/0482 (20130101); F24J 2002/4676 (20130101); Y02B 10/12 (20130101); Y02B 10/20 (20130101); Y02E 10/47 (20130101); Y02E 10/50 (20130101)
H01L 27/142 (20130101); H01L 31/042 (20130101); Y02E 10/46 (20130101); Y02E 10/50 (20130101)
F01K 13/00 (20130101); F01K 13/02 (20130101)
G05F 1/67 (20130101); H02J 7/35 (20130101); H02M 7/53875 (20130101); H02P 27/06 (20130101); H02M 2001/0022 (20130101); Y02E 10/566 (20130101); Y02E 10/58 (20130101)
E04D 1/34 (20130101); F24J 2/52 (20130101); H01L 31/0482 (20130101); E04D 2001/3414 (20130101); E04D 2001/3447 (20130101); E04D 2001/3458 (20130101); E04D 2001/3473 (20130101); E04D 2001/3494 (20130101); F24J 2/045 (20130101); F24J 2002/0061 (20130101); Y02B 10/12 (20130101); Y02B 10/20 (20130101); Y02E 10/47 (20130101); Y02E 10/50 (20130101)
