PatId	Patnum	Year	OrigTechArea	city	state	state	country	topicId	ourTechArea	origCPC1	origCPC2	origCPC3	ourCPCnum1	ourCPCnum2	ourCPCnum3	GeoCode
pat0045	num-7479774	yr2009	Solar Inverter	Taoyuan	N/A	N/A	Taiwan	0	Solar Inverter	H02M	Y02E	Y02B	H02M	Y02E	H02J	asia
pat0026	num-7333916	yr2008	Solar Monitoring	Warrenville  IL	IL	IL	USA	6	Solar Inverter	G01R			H02J	Y02E	H02M	IL
pat0623	num-12/977 006	yr2012	Solar Mounting/Rack	San Jose  CA	CA	CA	USA	12	Solar Mounting/Rack				Y02E	H01L	F24J	Bay_Area
pat0734	num-13/227 777	yr2012	Solar Monitoring	Los Gatos  CA	CA	CA	USA	5	Solar Monitoring	G01R	G06Q	G05F	Y04S	G06Q	Y02E	Bay_Area
pat0457	num-12/542 524	yr2011	Solar Monitoring	Newark  CA	CA	CA	USA	5	Solar Monitoring	H04Q	Y02E	H01L	Y04S	G06Q	Y02E	Bay_Area
pat0094	num-7795837	yr2010	Solar Monitoring	Stafford  TX	TX	TX	USA	12	Solar Mounting/Rack	H01M	Y02E	H01L	Y02E	H01L	F24J	TX
pat0775	num-13/331 826	yr2012	Solar Mounting/Rack	Mascoutah  IL	IL	IL	USA	2	Solar Mounting/Rack	F24J	F16B	F24J	F24J	Y02E	H01L	IL
pat0843	num-13/537 918	yr2012	Solar Inverter	Altdorf	N/A	N/A	Germany	9	Solar Mounting/Rack	H01H			H01L	Y02E	H01R	germany
pat0090	num-7772716	yr2010	Solar Inverter	Menlo Park  CA	CA	CA	USA	6	Solar Inverter	Y02E	H01L		H02J	Y02E	H02M	Bay_Area
pat0836	num-13/492 084	yr2012	Solar Inverter	Austin  TX	TX	TX	USA	7	Solar Inverter				Y02E	H02J	H01L	TX
pat0530	num-12/784 360	yr2010	Solar Mounting/Rack	Mountain View  CA	CA	CA	USA	13	Solar Mounting/Rack	H01L	Y02E		H01L	Y02E	F24J	Bay_Area
pat0524	num-12/759 652	yr2011	Solar Inverter	Fort Collins  CO	CO	CO	USA	9	Solar Mounting/Rack	H02H	Y02E		H01L	Y02E	H01R	CO
pat0768	num-13/317 142	yr2012	Solar Mounting/Rack	San Rafeal  CA	CA	CA	USA	14	Solar Mounting/Rack	F24J	Y02E	H01L	F24J	Y02E	H01L	Bay_Area
pat0319	num-10/516 646	yr2005	Solar Inverter	Eindhoven	N/A	N/A	Netherlands	5	Solar Monitoring				Y04S	G06Q	Y02E	europe
pat0586	num-12/908 055	yr2011	Solar Mounting/Rack	Midland  MI	MI	MI	USA	8	Solar Inverter	Y02E	H01L	Y02B	H01L	Y02E	Y02B	MI
pat0432	num-12/404 546	yr2009	Solar Mounting/Rack	Jacksonville  FL	FL	FL	USA	14	Solar Mounting/Rack	F24J	Y02E	H01L	F24J	Y02E	H01L	FL
pat0390	num-12/172 221	yr2010	Solar Monitoring	Santa Clara  CA	CA	CA	USA	5	Solar Monitoring	G06Q	Y04S		Y04S	G06Q	Y02E	Bay_Area
pat0599	num-12/942 404	yr2011	Solar Mounting/Rack	Toledo  OH	OH	OH	USA	4	Solar Mounting/Rack	H01L	Y02E	F24J	Y02B	H01L	Y02E	OH
pat0034	num-7406800	yr2008	Solar Mounting/Rack	Saratoga  CA	USA	USA	USA	12	Solar Mounting/Rack	F24J	Y02E	H01L	Y02E	H01L	F24J	USA
pat0363	num-11/924 594	yr2008	Solar Mounting/Rack	San Jose  CA	CA	CA	USA	14	Solar Mounting/Rack	H01L	Y02E		F24J	Y02E	H01L	Bay_Area
pat0773	num-13/326 094	yr2012	Solar Mounting/Rack	Limerick  PA	PA	PA	USA	4	Solar Mounting/Rack				Y02B	H01L	Y02E	PA
pat0015	num-7187277	yr2007	Solar Monitoring	Tokyo	N/A	N/A	Japan	3	Solar Monitoring	G08B			H02J	Y02E	Y02B	jp
pat0826	num-13/470888	yr2012	Solar Inverter	Seoul	N/A	N/A	South Korea	13	Solar Mounting/Rack				H01L	Y02E	F24J	asia
pat0066	num-7648371	yr2010	Solar Mounting/Rack	Detmold	N/A	N/A	Germany	9	Solar Mounting/Rack	H01R	H01L	H01R	H01L	Y02E	H01R	germany
pat0701	num-13/155 515	yr2011	Solar Mounting/Rack	Berlin	N/A	N/A	Germany	14	Solar Mounting/Rack	F24J	Y02B	Y02E	F24J	Y02E	H01L	germany
pat0393	num-12/200 168	yr2009	Solar Mounting/Rack	Albuquerque  NM	NM	NM	USA	2	Solar Mounting/Rack	H01L	F24J	Y02E	F24J	Y02E	H01L	NM
pat0666	num-13/079 947	yr2012	Solar Mounting/Rack	Ballston Lake  NY	NY	NY	USA	14	Solar Mounting/Rack	F24J	E04B		F24J	Y02E	H01L	NY
pat0651	num-13/050 812	yr2011	Solar Mounting/Rack	Santa Rosa  CA	CA	CA	USA	8	Solar Inverter	H01L			H01L	Y02E	Y02B	Bay_Area
