PatId	Year	OrigTechArea	city	state	state	country	topicId	ourTechArea	ourCPCnum1	ourCPCnum2	ourCPCnum3
pat0360	2011	Solar Inverter	Ottawa			Canada	11	Solar Inverter	H02J	Y02E	Y02B
pat0221	2012	Solar Inverter	Niestetal			Germany	3	Solar Inverter	H02M	H02J	Y02E
pat0538	2011	Solar Monitoring	Schenectady  NY	NY	NY	USA	6	Solar Monitoring	H04Q	Y04S	G01R
pat0375	2010	Solar Inverter	Narragansett  RI	RI	RI	USA	12	Solar Mounting/Rack	Y02E	H01L	F24J
pat0479	2011	Solar Inverter  Solar Monitoring	Bend  OR	OR	OR	USA	14	Solar Mounting/Rack	H01L	Y02B	E04D
pat0630	2010	Solar Mounting/Rack	Brick  NJ	USA	USA	USA	7	Solar Mounting/Rack	F24J	Y02E	H01L
pat0057	2009	Solar Mounting/Rack	Sharon Center  OH	OH	OH	USA	12	Solar Mounting/Rack	Y02E	H01L	F24J
pat0116	2010	Solar Inverter	Fort Collins  CO	CO	CO	USA	11	Solar Inverter	H02J	Y02E	Y02B
pat0512	2008	Solar Monitoring	Denver  CO	CO	CO	USA	4	Solar Inverter	H02M	F05B	H02J
pat0453	2011	Solar Inverter	Livermore  CA	CA	CA	USA	5	Solar Inverter	Y02E	H02J	H02M
pat0394	2003	Solar Inverter	Eindhoven			Netherlands	13	Solar Inverter	Y02E	H02J	G01R
pat0446	2011	Solar Inverter	Dallas  TX	TX	TX	USA	2	Solar Inverter	Y02E	H01L	H02J
pat0381	2009	Solar Inverter	Roanoke  VA	VA	VA	USA	11	Solar Inverter	H02J	Y02E	Y02B
pat0507	2008	Solar Monitoring	Hempstead  NY	NY	NY	USA	6	Solar Monitoring	H04Q	Y04S	G01R
pat0042	2008	Solar Inverter	Niskayuna  NY	NY	NY	USA	11	Solar Inverter	H02J	Y02E	Y02B
pat0089	2010	Solar Inverter	Fort Collins  CO	CO	CO	USA	2	Solar Inverter	Y02E	H01L	H02J
pat0491	2011	Solar Inverter  Solar Monitoring	Freiberg			Germany	3	Solar Inverter	H02M	H02J	Y02E
pat0356	2011	Solar Inverter	Pittsboro  NC	NC	NC	USA	3	Solar Inverter	H02M	H02J	Y02E
pat0613	2009	Solar Mounting/Rack	Morgan Hill  CA	CA	CA	USA	10	Solar Mounting/Rack	H01L	Y02E	F24J
pat0606	2009	Solar Mounting/Rack	Alameda  CA	USA	USA	USA	0	Solar Mounting/Rack	H01L	Y02E	Y02B
pat0080	2010	Solar Inverter  Solar Monitoring	Bend  OR	OR	OR	USA	3	Solar Inverter	H02M	H02J	Y02E
pat0484	2010	Solar Inverter  Solar Monitoring	Marchtrenk			Austria	5	Solar Inverter	Y02E	H02J	H02M
pat0343	2008	Solar Inverter	Fort Collins  CO	CO	CO	USA	5	Solar Inverter	Y02E	H02J	H02M
pat0388	2011	Solar Inverter	Sharon  CA	CA	CA	USA	11	Solar Inverter	H02J	Y02E	Y02B
pat0369	2007	Solar Inverter	Petaluma  CA	CA	CA	USA	11	Solar Inverter	H02J	Y02E	Y02B
pat0465	2011	Solar Inverter	Westford  MA	MA	MA	USA	13	Solar Inverter	Y02E	H02J	G01R
pat0228	2012	Solar Inverter  Solar Monitoring	Palatine  IL	IL	IL	USA	13	Solar Inverter	Y02E	H02J	G01R
pat0524	2012	Solar Monitoring	Chargin Falls  OH	OH	OH	USA	6	Solar Monitoring	H04Q	Y04S	G01R
pat0120	2010	Solar Mounting/Rack	Alameda  CA	CA	CA	USA	0	Solar Mounting/Rack	H01L	Y02E	Y02B
pat0061	2009	Solar Inverter  Solar Monitoring	Santa Clara  CA	CA	CA	USA	6	Solar Monitoring	H04Q	Y04S	G01R
pat0074	2010	Solar Mounting/Rack	Antioch  CA	CA	CA	USA	12	Solar Mounting/Rack	Y02E	H01L	F24J
pat0135	2011	Solar Mounting/Rack	Aloha  OR	OR	OR	USA	2	Solar Inverter	Y02E	H01L	H02J
pat0639	2011	Solar Mounting/Rack	Mendham  NJ	NJ	NJ	USA	7	Solar Mounting/Rack	F24J	Y02E	H01L
pat0531	2009	Solar Monitoring	Albuquerque  NM	NM	NM	USA	6	Solar Monitoring	H04Q	Y04S	G01R
pat0470	2010	Solar Inverter	Schenectady  NY	NY	NY	USA	14	Solar Mounting/Rack	H01L	Y02B	E04D
pat0697	2008	Solar Mounting/Rack	Schwedt			Germany	7	Solar Mounting/Rack	F24J	Y02E	H01L
pat0415	2010	Solar Inverter	Stuttgart			Germany	3	Solar Inverter	H02M	H02J	Y02E
pat0258	2012	Solar Inverter  Solar Mounting/Rack	Austin  TX	TX	TX	USA	10	Solar Mounting/Rack	H01L	Y02E	F24J
pat0554	2012	Solar Monitoring	Osaka	N/A	N/A	Japan	6	Solar Monitoring	H04Q	Y04S	G01R
pat0541	2010	Solar Monitoring	Scottsdale  AZ	AZ	AZ	USA	11	Solar Inverter	H02J	Y02E	Y02B
pat0400	2012	Solar Inverter	Seoul			South Korea	11	Solar Inverter	H02J	Y02E	Y02B
pat0004	2005	Solar Inverter	Dearborn  MI	MI	MI	USA	4	Solar Inverter	H02M	F05B	H02J
pat0708	2011	Solar Mounting/Rack	San Luis Obispo  CA	CA	CA	USA	7	Solar Mounting/Rack	F24J	Y02E	H01L
pat0649	2012	Solar Mounting/Rack	Colorado Springs  CO	CO	CO	USA	7	Solar Mounting/Rack	F24J	Y02E	H01L
pat0682	2011	Solar Mounting/Rack	Brick  NJ	NJ	NJ	USA	12	Solar Mounting/Rack	Y02E	H01L	F24J
pat0722	2008	Solar Mounting/Rack	Los Altos  CA	CA	CA	USA	7	Solar Mounting/Rack	F24J	Y02E	H01L
pat0663	2012	Solar Mounting/Rack	Philadelphia  PA	PA	PA	USA	7	Solar Mounting/Rack	F24J	Y02E	H01L
pat0267	2012	Solar Inverter	Petaluma  CA	CA	CA	USA	3	Solar Inverter	H02M	H02J	Y02E
pat0326	2007	Solar Inverter	Columbia  SC	SC	SC	USA	4	Solar Inverter	H02M	F05B	H02J
pat0333	2011	Site Assessment	Bolinas  CA	CA	CA	USA	0	Solar Mounting/Rack	H01L	Y02E	Y02B
pat0272	2012	Solar Inverter	Schenectady  NY	NY	NY	USA	11	Solar Inverter	H02J	Y02E	Y02B
pat0676	2010	Solar Mounting/Rack	Poway  CA	CA	CA	USA	7	Solar Mounting/Rack	F24J	Y02E	H01L
pat0737	2007	Solar Mounting/Rack	Berkeley  CA	CA	CA	USA	7	Solar Mounting/Rack	F24J	Y02E	H01L
pat0562	2012	Solar Monitoring	Freising	N/A	N/A	Germany	2	Solar Inverter	Y02E	H01L	H02J
pat0423	2009	Solar Inverter	Niestetal			Germany	0	Solar Mounting/Rack	H01L	Y02E	Y02B
pat0027	2008	Solar Monitoring	Mineola  NY	NY	NY	USA	6	Solar Monitoring	H04Q	Y04S	G01R
pat0166	2011	Solar Inverter  Solar Monitoring	New Castle  CO	CO	CO	USA	11	Solar Inverter	H02J	Y02E	Y02B
pat0173	2011	Solar Monitoring	San Jose  CA	CA	CA	USA	2	Solar Inverter	Y02E	H01L	H02J
pat0032	2008	Solar Monitoring	Taipei Hsien	N/A	N/A	Taiwan	5	Solar Inverter	Y02E	H02J	H02M
pat0436	2011	Solar Inverter	Austin  TX	TX	TX	USA	3	Solar Inverter	H02M	H02J	Y02E
pat0577	2008	Solar Monitoring  Solar Inverter	Schenectady  NY	NY	NY	USA	11	Solar Inverter	H02J	Y02E	Y02B
pat0596	2011	Solar Mounting/Rack	Richmond  CA	CA	CA	USA	7	Solar Mounting/Rack	F24J	Y02E	H01L
pat0159	2011	Solar Inverter  Solar Monitoring	Bend  OR	OR	OR	USA	3	Solar Inverter	H02M	H02J	Y02E
pat0655	2012	Solar Mounting/Rack	Suffern  NY	NY	NY	USA	7	Solar Mounting/Rack	F24J	Y02E	H01L
pat0018	2007	Solar Inverter	Dearborn  MI	MI	MI	USA	13	Solar Inverter	Y02E	H02J	G01R
pat0714	2010	Solar Mounting/Rack	Santa Clara  CA	CA	CA	USA	10	Solar Mounting/Rack	H01L	Y02E	F24J
pat0701	2011	Solar Mounting/Rack	Pontiac  MI	USA	USA	USA	7	Solar Mounting/Rack	F24J	Y02E	H01L
pat0187	2011	Solar Inverter  Solar Monitoring	Ravensburg			Germany	11	Solar Inverter	H02J	Y02E	Y02B
pat0640	2011	Solar Mounting/Rack	Eagan  MN	MN	MN	USA	11	Solar Inverter	H02J	Y02E	Y02B
pat0244	2012	Solar Inverter	Fisciano			Italy	3	Solar Inverter	H02M	H02J	Y02E
pat0548	2009	Solar Monitoring	Tokyo	N/A	N/A	Japan	2	Solar Inverter	Y02E	H01L	H02J
pat0583	2009	Solar Monitoring  Solar Inverter	Los Gatos  CA	CA	CA	USA	11	Solar Inverter	H02J	Y02E	Y02B
pat0409	2012	Solar Inverter	Hayward  CA	CA	CA	USA	2	Solar Inverter	Y02E	H01L	H02J
pat0654	2012	Solar Mounting/Rack	Nederland  CO	CO	CO	USA	7	Solar Mounting/Rack	F24J	Y02E	H01L
pat0193	2011	Solar Monitoring	Cambridgeshire  GB			GB	11	Solar Inverter	H02J	Y02E	Y02B
pat0715	2010	Solar Mounting/Rack	Santa Clara  CA	CA	CA	USA	4	Solar Inverter	H02M	F05B	H02J
pat0019	2007	Solar Mounting/Rack	Albuquerque  NM	NM	NM	USA	0	Solar Mounting/Rack	H01L	Y02E	Y02B
pat0597	2011	Solar Mounting/Rack	Wallingford  CT	CT	CT	USA	10	Solar Mounting/Rack	H01L	Y02E	F24J
pat0549	2010	Solar Monitoring	Alexandria  VA	VA	VA	USA	6	Solar Monitoring	H04Q	Y04S	G01R
