PatId	Year	OrigTechArea	city	state	state	country	topicId	ourTechArea	ourCPCnum1	ourCPCnum2	ourCPCnum3
pat0582	2011	Solar Monitoring  Solar Inverter	Beit Aharon			Israel	12	Solar Mounting/Rack	Y02E	H01L	F24J
pat0408	2008	Solar Inverter	Hayward  CA	CA	CA	USA	13	Solar Inverter	Y02E	H02J	G01R
pat0700	2010	Solar Mounting/Rack	Armonk  NY	NY	NY	USA	0	Solar Mounting/Rack	H01L	Y02E	Y02B
pat0641	2011	Solar Mounting/Rack	Athens  OH	OH	OH	USA	7	Solar Mounting/Rack	F24J	Y02E	H01L
pat0186	2011	Solar Inverter	Niestetal			Germany	3	Solar Inverter	H02M	H02J	Y02E
pat0026	2008	Solar Monitoring	Warrenville  IL	IL	IL	USA	13	Solar Inverter	Y02E	H02J	G01R
pat0167	2011	Solar Inverter	Petaluma  CA	CA	CA	USA	13	Solar Inverter	Y02E	H02J	G01R
pat0563	2011	Solar Monitoring	Dallas  TX	TX	TX	USA	6	Solar Monitoring	H04Q	Y04S	G01R
pat0422	2009	Solar Inverter	Niestetal			Germany	0	Solar Mounting/Rack	H01L	Y02E	Y02B
pat0437	2011	Solar Inverter	Austin  TX	TX	TX	USA	3	Solar Inverter	H02M	H02J	Y02E
pat0576	2011	Solar Monitoring  Solar Inverter	Cary  NC	NC	NC	USA	3	Solar Inverter	H02M	H02J	Y02E
pat0172	2011	Solar Inverter  Solar Monitoring	Herzelia			Israel	14	Solar Mounting/Rack	H01L	Y02B	E04D
pat0033	2008	Solar Inverter	Bend  OR	OR	OR	USA	2	Solar Inverter	Y02E	H01L	H02J
pat0327	2009	Solar Inverter	Washington  DC	DC	DC	USA	4	Solar Inverter	H02M	F05B	H02J
pat0723	2008	Solar Mounting/Rack	Los Altos  CA	CA	CA	USA	7	Solar Mounting/Rack	F24J	Y02E	H01L
pat0662	2011	Solar Mounting/Rack	Boulder  CO	CO	CO	USA	10	Solar Mounting/Rack	H01L	Y02E	F24J
pat0677	2009	Solar Mounting/Rack	Jacksonville  FL	FL	FL	USA	0	Solar Mounting/Rack	H01L	Y02E	Y02B
pat0736	2008	Solar Mounting/Rack	Milan	Italy	Italy	Italy	7	Solar Mounting/Rack	F24J	Y02E	H01L
pat0332	2010	Site Assessment	Surrey  CA	CA	CA	USA	4	Solar Inverter	H02M	F05B	H02J
pat0273	2012	Solar Inverter	Schenectady  NY	NY	NY	USA	11	Solar Inverter	H02J	Y02E	Y02B
pat0414	2012	Solar Inverter	Webster  NY	NY	NY	USA	13	Solar Inverter	Y02E	H02J	G01R
pat0318	2009	Solar Inverter	Cleveland  OH	OH	OH	USA	3	Solar Inverter	H02M	H02J	Y02E
pat0555	2010	Solar Monitoring	Palatine  IL	IL	IL	USA	8	Solar Monitoring	Y02E	Y02B	Y02T
pat0259	2012	Solar Mounting/Rack	Kolitzheim			Germany	7	Solar Mounting/Rack	F24J	Y02E	H01L
pat0696	2007	Solar Mounting/Rack	Schwedt			Germany	7	Solar Mounting/Rack	F24J	Y02E	H01L
pat0151	2011	Solar Inverter	Sunnyvale  CA	CA	CA	USA	3	Solar Inverter	H02M	H02J	Y02E
pat0010	2006	Solar Inverter	Tokyo			Japan	13	Solar Inverter	Y02E	H02J	G01R
pat0709	2009	Solar Mounting/Rack	Dana Point  CA	USA	USA	USA	12	Solar Mounting/Rack	Y02E	H01L	F24J
pat0005	2005	Solar Inverter	Columbia  MD	MD	MD	USA	14	Solar Mounting/Rack	H01L	Y02B	E04D
pat0648	2012	Solar Mounting/Rack	San Rafael  CA	CA	CA	USA	7	Solar Mounting/Rack	F24J	Y02E	H01L
pat0683	2012	Solar Mounting/Rack	Perrysburg  OH	OH	OH	USA	7	Solar Mounting/Rack	F24J	Y02E	H01L
pat0144	2011	Solar Inverter	Bend  OR	OR	OR	USA	11	Solar Inverter	H02J	Y02E	Y02B
pat0540	2012	Solar Monitoring	Freemont  CA	CA	CA	USA	3	Solar Inverter	H02M	H02J	Y02E
pat0401	2012	Solar Inverter	Seoul			South Korea	11	Solar Inverter	H02J	Y02E	Y02B
pat0121	2010	Solar Monitoring	Milpitas  CA	CA	CA	USA	11	Solar Inverter	H02J	Y02E	Y02B
pat0060	2009	Solar Inverter	Fort Collins  CO	CO	CO	USA	10	Solar Mounting/Rack	H01L	Y02E	F24J
pat0464	2011	Solar Inverter	Metzingen			Germany	11	Solar Inverter	H02J	Y02E	Y02B
pat0525	2012	Solar Monitoring	Austin  TX	TX	TX	USA	2	Solar Inverter	Y02E	H01L	H02J
pat0229	2012	Site Assessment	Napa  CA	CA	CA	USA	1	Site Assessment	G01W	G06Q	F24J
pat0530	2008	Solar Monitoring	Phoenix  AZ	AZ	AZ	USA	13	Solar Inverter	Y02E	H02J	G01R
pat0471	2006	Solar Inverter	Changwon			Taiwan	11	Solar Inverter	H02J	Y02E	Y02B
pat0134	2011	Solar Inverter	Sunnyvale  CA	CA	CA	USA	3	Solar Inverter	H02M	H02J	Y02E
pat0094	2010	Solar Monitoring	Stafford  TX	TX	TX	USA	12	Solar Mounting/Rack	Y02E	H01L	F24J
pat0612	2008	Solar Mounting/Rack	Hampton  VA	VA	VA	USA	7	Solar Mounting/Rack	F24J	Y02E	H01L
pat0357	2011	Solar Inverter	Pontedera			Italy	3	Solar Inverter	H02M	H02J	Y02E
pat0490	2011	Solar Inverter  Solar Monitoring	Hod Hasharon			Israel	3	Solar Inverter	H02M	H02J	Y02E
pat0342	2012	Solar Inverter	Dresden			Germany	3	Solar Inverter	H02M	H02J	Y02E
pat0389	2010	Solar Inverter	Hsinchu			Taiwan	5	Solar Inverter	Y02E	H02J	H02M
pat0485	2010	Solar Inverter  Solar Monitoring	Milpitas  CA	CA	CA	USA	5	Solar Inverter	Y02E	H02J	H02M
pat0203	2012	Solar Mounting/Rack	Mascoutah  IL	IL	IL	USA	7	Solar Mounting/Rack	F24J	Y02E	H01L
pat0607	2009	Solar Mounting/Rack	Alameda  CA	CA	CA	USA	10	Solar Mounting/Rack	H01L	Y02E	F24J
pat0081	2010	Solar Mounting/Rack	Cold Spring  NY	NY	NY	USA	6	Solar Monitoring	H04Q	Y04S	G01R
pat0513	2009	Solar Monitoring	Kelkheim  DE			DE	6	Solar Monitoring	H04Q	Y04S	G01R
pat0395	2010	Solar Inverter	Ludenscheid			Germany	5	Solar Inverter	Y02E	H02J	H02M
pat0499	2012	Solar Monitoring	Richmond  CA	CA	CA	USA	8	Solar Monitoring	Y02E	Y02B	Y02T
pat0452	2011	Solar Inverter	Livermore  CA	CA	CA	USA	2	Solar Inverter	Y02E	H01L	H02J
pat0102	2010	Solar Monitoring	Niestetal			Germany	13	Solar Inverter	Y02E	H02J	G01R
pat0043	2008	Solar Inverter	Niestetal			Germany	11	Solar Inverter	H02J	Y02E	Y02B
pat0088	2010	Solar Inverter	Petaluma  CA	CA	CA	USA	13	Solar Inverter	Y02E	H02J	G01R
pat0380	2009	Solar Inverter	Roanoke  VA	VA	VA	USA	3	Solar Inverter	H02M	H02J	Y02E
pat0447	2010	Solar Inverter	Boulder  CO	CO	CO	USA	13	Solar Inverter	Y02E	H02J	G01R
pat0506	2008	Solar Monitoring	New Port Richey  FL	FL	FL	USA	6	Solar Monitoring	H04Q	Y04S	G01R
pat0361	2005	Solar Inverter	Hamburg			Germany	8	Solar Monitoring	Y02E	Y02B	Y02T
pat0220	2012	Solar Monitoring  Solar Inverter	Albuquerque  NM	NM	NM	USA	6	Solar Monitoring	H04Q	Y04S	G01R
pat0624	2010	Solar Mounting/Rack	Providence  RI	RI	RI	USA	14	Solar Mounting/Rack	H01L	Y02B	E04D
pat0128	2011	Solar Mounting/Rack	Osaka-shi			Japan	10	Solar Mounting/Rack	H01L	Y02E	F24J
pat0069	2010	Solar Inverter	Wagen			Germany	9	Solar Mounting/Rack	H01L	F24J	Y02E
pat0631	2010	Solar Mounting/Rack	Boston  MA	MA	MA	USA	14	Solar Mounting/Rack	H01L	Y02B	E04D
pat0539	2011	Solar Monitoring	Los Gatos  CA	CA	CA	USA	4	Solar Inverter	H02M	F05B	H02J
pat0235	2012	Solar Monitoring	Schenectady  NY	NY	NY	USA	11	Solar Inverter	H02J	Y02E	Y02B
pat0478	2011	Solar Inverter  Solar Monitoring	Dimbach			Germany	2	Solar Inverter	Y02E	H01L	H02J
pat0374	2012	Solar Inverter	Petaluma  CA	CA	CA	USA	3	Solar Inverter	H02M	H02J	Y02E
pat0100	2010	Solar Monitoring	Richardson  TX	TX	TX	USA	3	Solar Inverter	H02M	H02J	Y02E
pat0504	2007	Solar Monitoring	Puslinch  CA	CA	CA	USA	6	Solar Monitoring	H04Q	Y04S	G01R
pat0208	2012	Solar Monitoring	Ben Lomond  CA	CA	CA	USA	11	Solar Inverter	H02J	Y02E	Y02B
pat0445	2011	Solar Inverter	San Jose  CA	CA	CA	USA	11	Solar Inverter	H02J	Y02E	Y02B
pat0382	2010	Solar Inverter	Schenectady  NY	NY	NY	USA	2	Solar Inverter	Y02E	H01L	H02J
pat0349	2011	Solar Inverter	Fort Collins  CO	CO	CO	USA	5	Solar Inverter	Y02E	H02J	H02M
pat0450	2007	Solar Inverter	Livermore  CA	CA	CA	USA	11	Solar Inverter	H02J	Y02E	Y02B
pat0397	2008	Solar Inverter	Colorado Springs  CO	CO	CO	USA	11	Solar Inverter	H02J	Y02E	Y02B
pat0511	2008	Solar Monitoring	Hroznetin  CZ; Austin  TX	TX	TX	USA; CZ	13	Solar Inverter	Y02E	H02J	G01R
pat0619	2010	Solar Mounting/Rack	Town And Country  MO	USA	USA	USA	12	Solar Mounting/Rack	Y02E	H01L	F24J
pat0633	2011	Solar Mounting/Rack	Westport  CT	CT	CT	USA	14	Solar Mounting/Rack	H01L	Y02B	E04D
pat0376	2010	Solar Inverter	Narragansett  RI	RI	RI	USA	11	Solar Inverter	H02J	Y02E	Y02B
pat0222	2012	Solar Mounting/Rack  Solar Monitoring	Durham  NC	NC	NC	USA	10	Solar Mounting/Rack	H01L	Y02E	F24J
pat0363	2011	Solar Inverter	TAOYUAN HSIEN			Taiwan	5	Solar Inverter	Y02E	H02J	H02M
pat0626	2010	Solar Mounting/Rack	Stamford  CT	CT	CT	USA	7	Solar Mounting/Rack	F24J	Y02E	H01L
pat0473	2011	Solar Inverter	Austin  TX	TX	TX	USA	5	Solar Inverter	Y02E	H02J	H02M
pat0532	2012	Solar Monitoring	Cambridge  GB	N/A	N/A	Great Britain	13	Solar Inverter	Y02E	H02J	G01R
pat0136	2011	Solar Mounting/Rack	Richmond  CA	WA	WA	USA	12	Solar Mounting/Rack	Y02E	H01L	F24J
pat0077	2010	Solar Inverter	Fort Collins  CO	CO	CO	USA	2	Solar Inverter	Y02E	H01L	H02J
pat0062	2009	Solar Inverter  Solar Mounting/Rack	Fort Collins  CO	CO	CO	USA	2	Solar Inverter	Y02E	H01L	H02J
pat0123	2010	Solar Inverter	Petaluma  CA	CA	CA	USA	3	Solar Inverter	H02M	H02J	Y02E
pat0527	2011	Solar Monitoring	Belo Horizonte	N/A	N/A	Brazil	6	Solar Monitoring	H04Q	Y04S	G01R
pat0466	2011	Solar Inverter	Cambridge			United Kingdom	0	Solar Mounting/Rack	H01L	Y02E	Y02B
pat0201	2012	Solar Inverter	Niestetal			Germany	3	Solar Inverter	H02M	H02J	Y02E
pat0487	2012	Solar Inverter  Solar Monitoring	Seoul			South Korea	4	Solar Inverter	H02M	F05B	H02J
pat0340	2010	Solar Inverter	Zurich			Switzerland	3	Solar Inverter	H02M	H02J	Y02E
pat0083	2010	Solar Mounting/Rack	Albuquerque  NM	NM	NM	USA	7	Solar Mounting/Rack	F24J	Y02E	H01L
pat0048	2009	Solar Monitoring	Ocala  FL	FL	FL	USA	6	Solar Monitoring	H04Q	Y04S	G01R
pat0605	2009	Solar Mounting/Rack	Alameda  CA	USA	USA	USA	0	Solar Mounting/Rack	H01L	Y02E	Y02B
pat0109	2010	Solar Mounting/Rack	Pasadena  CA	CA	CA	USA	9	Solar Mounting/Rack	H01L	F24J	Y02E
pat0610	2007	Solar Mounting/Rack	London			Great Britain	7	Solar Mounting/Rack	F24J	Y02E	H01L
pat0459	2006	Solar Inverter	Bend  OR	OR	OR	USA	0	Solar Mounting/Rack	H01L	Y02E	Y02B
pat0492	2011	Solar Inverter  Solar Monitoring	San Jose  CA	CA	CA	USA	6	Solar Monitoring	H04Q	Y04S	G01R
pat0355	2009	Solar Inverter	Austin  TX	TX	TX	USA	4	Solar Inverter	H02M	F05B	H02J
pat0518	2012	Solar Monitoring	Los Gatos  CA	CA	CA	USA	3	Solar Inverter	H02M	H02J	Y02E
pat0214	2012	Solar Inverter	Rancocas  NJ	NJ	NJ	USA	4	Solar Inverter	H02M	F05B	H02J
pat0734	2009	Solar Mounting/Rack	Dulles  VA	USA	USA	USA	0	Solar Mounting/Rack	H01L	Y02E	Y02B
pat0038	2008	Solar Inverter	Bend  OR	OR	OR	USA	11	Solar Inverter	H02J	Y02E	Y02B
pat0675	2008	Solar Mounting/Rack	Albuquerque  NM	NM	NM	USA	12	Solar Mounting/Rack	Y02E	H01L	F24J
pat0179	2011	Solar Inverter	Westford  MA	MA	MA	USA	10	Solar Mounting/Rack	H01L	Y02E	F24J
pat0330	2008	Site Assessment	Bolinas  CA	CA	CA	USA	1	Site Assessment	G01W	G06Q	F24J
pat0429	2012	Solar Inverter	Niestetal			Germany	3	Solar Inverter	H02M	H02J	Y02E
pat0325	2007	Solar Inverter	Raanana  IL	IL	IL	USA	4	Solar Inverter	H02M	F05B	H02J
pat0568	2009	Solar Monitoring	Zhangzhou  CN			CN	13	Solar Inverter	Y02E	H02J	G01R
pat0264	2012	Solar Inverter	Niestetal			Germany	3	Solar Inverter	H02M	H02J	Y02E
pat0660	2012	Solar Mounting/Rack	Valley Forge  PA	PA	PA	USA	14	Solar Mounting/Rack	H01L	Y02B	E04D
pat0721	2006	Solar Mounting/Rack	Palo Alto  Ca	CA	CA	USA	10	Solar Mounting/Rack	H01L	Y02E	F24J
pat0146	2011	Solar Monitoring	Schenectady  NY	NY	NY	USA	8	Solar Monitoring	Y02E	Y02B	Y02T
pat0681	2010	Solar Mounting/Rack	Stamford  CT	CT	CT	USA	7	Solar Mounting/Rack	F24J	Y02E	H01L
pat0007	2005	Solar Mounting/Rack	Perrysburg  OH	OH	OH	USA	9	Solar Mounting/Rack	H01L	F24J	Y02E
pat0403	2010	Solar Inverter	Menomonee Falls  WI	WI	WI	USA	11	Solar Inverter	H02J	Y02E	Y02B
pat0589	2008	Solar Mounting/Rack				USA	7	Solar Mounting/Rack	F24J	Y02E	H01L
pat0542	2009	Solar Monitoring	Minneapolis  MN	MN	MN	USA	13	Solar Inverter	Y02E	H02J	G01R
pat0557	2012	Solar Monitoring	Niestetal			Germany	13	Solar Inverter	Y02E	H02J	G01R
pat0012	2007	Solar Mounting/Rack	Pasadena  CA	CA	CA	USA	7	Solar Mounting/Rack	F24J	Y02E	H01L
pat0153	2011	Solar Inverter	Sunnyvale  CA	CA	CA	USA	3	Solar Inverter	H02M	H02J	Y02E
pat0694	2011	Solar Mounting/Rack	Freemont  CA	CA	CA	USA	4	Solar Inverter	H02M	F05B	H02J
pat0580	2011	Solar Monitoring  Solar Inverter	Niestetal			Germany	11	Solar Inverter	H02J	Y02E	Y02B
pat0184	2011	Solar Inverter	Petaluma  CA	CA	CA	USA	11	Solar Inverter	H02J	Y02E	Y02B
pat0688	2010	Solar Mounting/Rack	Publicly Traded	Solar electronics and power management; inverter manufacturer	Solar electronics and power management; inverter manufacturer	USA	0	Solar Mounting/Rack	H01L	Y02E	Y02B
pat0643	2011	Solar Mounting/Rack	Tossicia  IT			Italy	7	Solar Mounting/Rack	F24J	Y02E	H01L
pat0702	2011	Solar Mounting/Rack	Pontiac  MI	MI	MI	USA	7	Solar Mounting/Rack	F24J	Y02E	H01L
pat0717	2010	Solar Mounting/Rack	Santa Clara  CA	CA	CA	USA	14	Solar Mounting/Rack	H01L	Y02B	E04D
pat0656	2009	Solar Mounting/Rack	Warrenville  IL	IL	IL	USA	9	Solar Mounting/Rack	H01L	F24J	Y02E
pat0252	2012	Solar Monitoring	Moorpark  CA	CA	CA	USA	11	Solar Inverter	H02J	Y02E	Y02B
pat0595	2010	Solar Mounting/Rack	Tarnow			Poland	10	Solar Mounting/Rack	H01L	Y02E	F24J
pat0313	2012	Site Assessment	Napa  CA	CA	CA	USA	1	Site Assessment	G01W	G06Q	F24J
pat0574	2010	Solar Monitoring   Solar Inverter	Milwaukee  WI	WI	WI	USA	14	Solar Mounting/Rack	H01L	Y02B	E04D
pat0278	2012	Solar Inverter	Perrysburg  OH	OH	OH	USA	2	Solar Inverter	Y02E	H01L	H02J
pat0435	2011	Solar Inverter	Austin  TX	TX	TX	USA	5	Solar Inverter	Y02E	H02J	H02M
pat0339	2012	Solar Inverter	Zurich			Switzerland	13	Solar Inverter	Y02E	H02J	G01R
pat0031	2008	Solar Inverter	Chicago  IL	IL	IL	USA	3	Solar Inverter	H02M	H02J	Y02E
pat0170	2011	Solar Monitoring	Cupertino  CA	CA	CA	USA	11	Solar Inverter	H02J	Y02E	Y02B
pat0669	2010	Solar Mounting/Rack	Midland  MI	USA	USA	USA	0	Solar Mounting/Rack	H01L	Y02E	Y02B
pat0165	2011	Solar Mounting/Rack	Armonk  NY	NY	NY	USA	7	Solar Mounting/Rack	F24J	Y02E	H01L
pat0728	2009	Solar Mounting/Rack	Sunnyvale  CA	CA	CA	USA	12	Solar Mounting/Rack	Y02E	H01L	F24J
pat0024	2007	Solar Monitoring	Henderson  NV	NV	NV	USA	6	Solar Monitoring	H04Q	Y04S	G01R
pat0420	2011	Solar Inverter	ALTDORF			USA	14	Solar Mounting/Rack	H01L	Y02B	E04D
pat0561	2011	Solar Monitoring	San Jose  CA	CA	CA	USA	13	Solar Inverter	Y02E	H02J	G01R
pat0171	2011	Solar Inverter  Solar Monitoring	Fort Collins  CO	CO	CO	USA	11	Solar Inverter	H02J	Y02E	Y02B
pat0575	2009	Solar Monitoring   Solar Inverter	Half Moon Bay  CA	CA	CA	USA	14	Solar Mounting/Rack	H01L	Y02B	E04D
