PatId, OrigTechArea, topicId, ourTechArea, ourCPCnum1, ourCPCnum2, ourCPCnum3 
pat411,Solar Inverter,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat297,Solar Monitoring,3,Solar Mounting/Rack,NO_CPC,NO_CPC,NO_CPC
pat550,Solar Monitoring,4,Solar Monitoring,H02J,Y02E,Y02B
pat79,Solar Inverter; Solar Monitoring,14,Solar Inverter,H02M,Y02E,H02J
pat337,Solar Inverter,14,Solar Inverter,H02M,Y02E,H02J
pat672,Solar Mounting/Rack,10,Solar Mounting/Rack,Y02E,H01L,Y02B
pat733,Solar Mounting/Rack,10,Solar Mounting/Rack,Y02E,H01L,Y02B
pat822,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat726,Solar Mounting/Rack,5,Solar Inverter,H02J,Y02E,H02M
pat837,Solar Mounting/Rack;,8,Solar Inverter,Y02E,H01L,H02J
pat667,Solar Mounting/Rack,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat263,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat322,Solar Inverter,1,Solar Monitoring,Y04S,H04Q,Y02E
pat177,Solar Inverter,2,Solar Mounting/Rack,H01L,Y02E,F24J
pat432,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat70,Solar Mounting/Rack,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat573,Solar Monitoring; Solar Inverter,8,Solar Inverter,Y02E,H01L,H02J
pat566,Solar Monitoring,9,Solar Mounting/Rack,H01L,Y02E,F24J
pat65,Solar Mounting/Rack,11,Solar Mounting/Rack,Y02E,H01L,F24J
pat427,Solar Inverter,14,Solar Inverter,H02M,Y02E,H02J
pat162,Solar Mounting/Rack,4,Solar Monitoring,H02J,Y02E,Y02B
pat814,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat705,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat148,Solar Monitoring,12,Site Assessment,H01L,Y02E,G01R
pat183,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat644,Solar Mounting/Rack,11,Solar Mounting/Rack,Y02E,H01L,F24J
pat240,Solar Inverter,5,Solar Inverter,H02J,Y02E,H02M
pat587,Solar Mounting/Rack,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat84,Solar Inverter; Solar Monitoring,5,Solar Inverter,H02J,Y02E,H02M
pat314,Solar Inverter,8,Solar Inverter,Y02E,H01L,H02J
pat91,Solar Monitoring,1,Solar Monitoring,Y04S,H04Q,Y02E
pat418,Solar Inverter,11,Solar Mounting/Rack,Y02E,H01L,F24J
pat255,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat592,Solar Mounting/Rack,2,Solar Mounting/Rack,H01L,Y02E,F24J
pat559,Solar Monitoring,8,Solar Inverter,Y02E,H01L,H02J
pat651,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat801,Solar Mounting/Rack,7,Solar Mounting/Rack,Y02E,H01L,Y02B
pat710,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
pat230,Solar Inverter; Solar Monitoring,14,Solar Inverter,H02M,Y02E,H02J
pat371,Solar Inverter,14,Solar Inverter,H02M,Y02E,H02J
pat775,Solar Mounting/Rack,11,Solar Mounting/Rack,Y02E,H01L,F24J
pat138,Solar Monitoring,12,Site Assessment,H01L,Y02E,G01R
pat634,Solar Mounting/Rack,13,Solar Mounting/Rack,F24J,Y02E,H01L
