PatId	Patnum	Year	OrigTechArea	city	state	state	country	topicId	ourTechArea
pat0651	13/050 812	2011	Solar Mounting/Rack	Santa Rosa  CA	CA	CA	USA	8	Solar Inverter
pat0639	13/029 585	2011	Solar Inverter	Niestetal	N/A	N/A	Germany	8	Solar Inverter
pat0099	7807919	2010	Solar Inverter	Los Gatos  CA	CA	CA	USA	8	Solar Inverter
pat0770	13/318 589	2012	Solar Inverter	Boulder  CO	CO	CO	USA	0	Solar Inverter
pat0421	12/368 887	2009	Solar Mounting/Rack	Santa Clara  CA	CA	CA	USA	14	Solar Mounting/Rack
pat0419	12/362 671	2009	Solar Mounting/Rack	Warrenville  IL	IL	IL	USA	2	Solar Mounting/Rack
pat0239	8184460	2012	Solar Inverter	Niskayuna  NY	NY	NY	USA	0	Solar Inverter
pat0336	11/465 787	2008	Solar Mounting/Rack	San Jose  CA	CA	CA	USA	8	Solar Inverter
pat0328	11/046 201	2005	Solar Mounting/Rack	Kyoto	N/A	N/A	Japan	2	Solar Mounting/Rack
pat0564	12/862 205	2012	Solar Monitoring	Moriguchi City	N/A	N/A	Japan	7	Solar Inverter
pat0662	13/075 093	2012	Solar Monitoring	Los Gatos  CA	CA	CA	USA	12	Solar Mounting/Rack
pat0572	12/892 130	2012	Solar Monitoring	Schenectady  NY	NY	NY	USA	3	Solar Monitoring
pat0127	7866098	2011	Solar Mounting/Rack	Saratoga  CA	CA	CA	USA	12	Solar Mounting/Rack
pat0243	8192233	2012	Solar Mounting/Rack	Berwyn  PA	PA	PA	USA	9	Solar Mounting/Rack
pat0560	12/856 827	2011	Solar Mounting/Rack	Colorado Springs  CO	CO	CO	USA	14	Solar Mounting/Rack
pat0448	12/491 641	2011	Solar Monitoring	Snoqualmie  WA	WA	WA	USA	9	Solar Mounting/Rack
pat0011	7155870	2007	Solar Mounting/Rack	Berkeley  CA	CA	CA	USA	2	Solar Mounting/Rack
pat0002	6928775	2005	Solar Mounting/Rack	Tucson  AZ	AZ	AZ	USA	13	Solar Mounting/Rack
pat0661	13/070 769	2011	Solar Inverter	Niestetal	N/A	N/A	Germany	0	Solar Inverter
pat0430	12/393 009	2010	Solar Inverter	Mountain View  CA	CA	CA	USA	11	Solar Inverter
pat0003	6930238	2005	Solar Mounting/Rack	Tokyo	N/A	N/A	Japan	2	Solar Mounting/Rack
pat0001	6914418	2005	Solar Inverter	Taipei	N/A	N/A	Taiwan	0	Solar Inverter
pat0428	12/391 623	2009	Solar Mounting/Rack	Hopewell  NJ	NJ	NJ	USA	14	Solar Mounting/Rack
pat0166	7977818	2011	Solar Inverter	New Castle  CO	CO	CO	USA	6	Solar Inverter
pat0454	12/525 794	2010	Solar Mounting/Rack	Blomberg	N/A	N/A	Germany	9	Solar Mounting/Rack
pat0148	7921607	2011	Solar Mounting/Rack	Novato  CA	CA	CA	USA	4	Solar Mounting/Rack
pat0473	12/581 793	2010	Solar Mounting/Rack	Fort Collins  CO	CO	CO	USA	8	Solar Inverter
pat0553	12/846 057	2012	Solar Inverter	Schenectady  NY	NY	NY	USA	7	Solar Inverter
pat0540	12/800 917	2010	Solar Monitoring	Orinda  CA	CA	CA	USA	8	Solar Inverter
pat0189	8058747	2011	Solar Inverter	Los Gatos  CA	CA	CA	USA	0	Solar Inverter
pat0549	12/831 806	2011	Solar Mounting/Rack	Town And Country  MO	MO	MO	USA	14	Solar Mounting/Rack
pat0330	11/278 916	2007	Solar Inverter	Victoria	N/A	N/A	Canada	11	Solar Inverter
pat0061	7610174	2009	Solar Monitoring	Santa Clara  CA	CA	CA	USA	5	Solar Monitoring
pat0352	11/780 721	2008	Solar Mounting/Rack	Rochester  MI	MI	MI	USA	4	Solar Mounting/Rack
pat0538	12/794 307	2010	Solar Mounting/Rack	Perrysburg  OH	OH	OH	USA	14	Solar Mounting/Rack
pat0310	8326535	2012	Site Assessment	Napa  CA	CA	CA	USA	1	Site Assessment
pat0092	7779290	2010	Solar Monitoring	San Jose  CA	CA	CA	USA	5	Solar Monitoring
pat0751	13/273 512	2012	Solar Inverter	Niestetal	N/A	N/A	Germany	11	Solar Inverter
pat0411	12/322 897	2009	Solar Inverter	Niestetal	N/A	N/A	Germany	0	Solar Inverter
pat0444	12/472 938	2010	Solar Monitoring	Haslach	N/A	N/A	Germany	3	Solar Monitoring
pat0591	12/912 552	2012	Solar Mounting/Rack	Lee Vining  CA	CA	CA	USA	13	Solar Mounting/Rack
pat0684	13/103 721	2011	Solar Inverter	Fort Collins  CO	CO	CO	USA	6	Solar Inverter
pat0262	8219259	2012	Solar Monitoring	Armonk  NY	NY	NY	USA	3	Solar Monitoring
pat0156	7940032	2011	Solar Inverter	Gyunggi-do	N/A	N/A	South Korea	6	Solar Inverter
pat0565	12/862 742	2012	Solar Monitoring	Los Gatos  CA	CA	CA	USA	7	Solar Inverter
pat0436	12/424 763	2009	Solar Monitoring	Zhangzhou	N/A	N/A	China	12	Solar Mounting/Rack
pat0807	13/427 163	2012	Solar Inverter	Seoul	N/A	N/A	South Korea	11	Solar Inverter
pat0752	13/273 525	2012	Solar Mounting/Rack	Athens  OH	OH	OH	USA	2	Solar Mounting/Rack
pat0636	13/028 122	2011	Solar Inverter	Fremont  CA	CA	CA	USA	0	Solar Inverter
pat0220	8138630	2012	Solar Monitoring	Albuquerque  NM	NM	NM	USA	6	Solar Inverter
pat0517	12/736 943	2011	Solar Monitoring	Tokyo	N/A	N/A	Japan	12	Solar Mounting/Rack
pat0469	12/564 783	2010	Solar Mounting/Rack	Alameda  CA	CA	CA	USA	4	Solar Mounting/Rack
pat0221	8138638	2012	Solar Inverter	Niestetal	N/A	N/A	Germany	0	Solar Inverter
pat0361	11/879 054	2009	Solar Inverter	Petaluma  CA	CA	CA	USA	12	Solar Mounting/Rack
pat0114	7834471	2010	Solar Monitoring	Waterford  MI	MI	MI	USA	3	Solar Monitoring
pat0689	13/118 791	2011	Solar Mounting/Rack	Tulsa  OK	OK	OK	USA	12	Solar Mounting/Rack
pat0499	12/676 138	2010	Solar Mounting/Rack	San Jose  CA	CA	CA	USA	14	Solar Mounting/Rack
pat0690	13/126 255	2011	Solar Mounting/Rack	Friesenried	N/A	N/A	Germany	14	Solar Mounting/Rack
pat0660	13/070 351	2012	Solar Monitoring	San Jose  CA	CA	CA	USA	5	Solar Monitoring
pat0468	12/564 774	2010	Solar Mounting/Rack	Alameda  CA	CA	CA	USA	4	Solar Mounting/Rack
pat0625	12/994 713	2011	Solar Mounting/Rack	Lyon	N/A	N/A	France	14	Solar Mounting/Rack
pat0829	13/475 460	2012	Solar Inverter	Petaluma  CA	CA	CA	USA	0	Solar Inverter
pat0253	8205400	2012	Solar Mounting/Rack	Rochester Hills  MI	MI	MI	USA	4	Solar Mounting/Rack
pat0000	6882063	2005	Solar Inverter	Calgary	N/A	N/A	Canada	6	Solar Inverter
pat0438	12/434 641	2010	Solar Inverter	Maple Glen  PA	PA	PA	USA	0	Solar Inverter
pat0194	8068352	2011	Solar Inverter	Peoria  IL	IL	IL	USA	6	Solar Inverter
pat0159	7960863	2011	Solar Inverter	Bend  OR	OR	OR	USA	11	Solar Inverter
pat0512	12/723 476	2010	Solar Mounting/Rack	Boulder  CO	CO	CO	USA	2	Solar Mounting/Rack
pat0339	11/558 659	2007	Solar Mounting/Rack	Dusseldorf	N/A	N/A	Germany	14	Solar Mounting/Rack
pat0702	13/158 711	2012	Solar Inverter	Milpitas  CA	CA	CA	USA	6	Solar Inverter
pat0833	13/490 084	2012	Solar Monitoring	Freemont  CA	CA	CA	USA	5	Solar Monitoring
pat0515	12/732 649	2011	Solar Mounting/Rack	San Jose  CA	CA	CA	USA	2	Solar Mounting/Rack
pat0295	8294286	2012	Solar Inverter	Troy  OH	OH	OH	USA	3	Solar Monitoring
pat0270	8232681	2012	Solar Inverter	Schenectady  NY	NY	NY	USA	6	Solar Inverter
pat0406	12/288 956	2009	Solar Monitoring	Hollsboro  OR	OR	OR	USA	5	Solar Monitoring
pat0529	12/777 224	2010	Site Assessment	New York  NY	NY	NY	USA	5	Solar Monitoring
pat0754	13/277 878	2012	Solar Mounting/Rack	Lafayette  CO	CO	CO	USA	14	Solar Mounting/Rack
pat0317	8338989	2012	Solar Inverter	Perrysburg  OH	OH	OH	USA	6	Solar Inverter
pat0552	12/845 802	2012	Solar Inverter	Schenectady  NY	NY	NY	USA	6	Solar Inverter
pat0403	12/275 147	2009	Solar Mounting/Rack	Albuquerque  NM	NM	NM	USA	14	Solar Mounting/Rack
pat0676	13/091 960	2011	Solar Mounting/Rack	Richmond  CA	CA	CA	USA	14	Solar Mounting/Rack
pat0110	7824189	2010	Solar Mounting/Rack	Berwyn  PA	PA	PA	USA	9	Solar Mounting/Rack
pat0722	13/200 190	2012	Solar Inverter	Westford  MA	MA	MA	USA	9	Solar Mounting/Rack
pat0083	7748175	2010	Solar Mounting/Rack	Albuquerque  NM	NM	NM	USA	14	Solar Mounting/Rack
pat0396	12/218 507	2009	Solar Monitoring	Marrickville	N/A	N/A	Australia	3	Solar Monitoring
pat0238	8183457	2012	Solar Mounting/Rack	San Diego  CA	CA	CA	USA	13	Solar Mounting/Rack
pat0165	7974079	2011	Solar Mounting/Rack	Armonk  NY	NY	NY	USA	9	Solar Mounting/Rack
pat0713	13/181 269	2012	Solar Inverter	Fort Collins  CO	CO	CO	USA	1	Site Assessment
pat0695	13/138 413	2011	Solar Mounting/Rack	Pettenbach	N/A	N/A	Austria	9	Solar Mounting/Rack
pat0584	12/904 972	2011	Solar Monitoring	San Jose  CA	CA	CA	USA	12	Solar Mounting/Rack
pat0592	12/914 599	2011	Solar Mounting/Rack	Poway  CA	CA	CA	USA	2	Solar Mounting/Rack
