PatId	Patnum	Year	OrigTechArea	city	state	state	country	topicId	ourTechArea
pat0773	num-13/326 094	yr-2012	Solar Mounting/Rack	Limerick  PA	PA	PA	USA	topic-4	Solar Mounting/Rack
pat0015	num-7187277	yr-2007	Solar Monitoring	Tokyo	N/A	N/A	Japan	topic-3	Solar Monitoring
pat0826	num-13/470888	yr-2012	Solar Inverter	Seoul	N/A	N/A	South Korea	topic-13	Solar Mounting/Rack
pat0066	num-7648371	yr-2010	Solar Mounting/Rack	Detmold	N/A	N/A	Germany	topic-9	Solar Mounting/Rack
pat0701	num-13/155 515	yr-2011	Solar Mounting/Rack	Berlin	N/A	N/A	Germany	topic-14	Solar Mounting/Rack
pat0393	num-12/200 168	yr-2009	Solar Mounting/Rack	Albuquerque  NM	NM	NM	USA	topic-2	Solar Mounting/Rack
pat0666	num-13/079 947	yr-2012	Solar Mounting/Rack	Ballston Lake  NY	NY	NY	USA	topic-14	Solar Mounting/Rack
pat0651	num-13/050 812	yr-2011	Solar Mounting/Rack	Santa Rosa  CA	CA	CA	USA	topic-8	Solar Inverter
pat0639	num-13/029 585	yr-2011	Solar Inverter	Niestetal	N/A	N/A	Germany	topic-8	Solar Inverter
pat0099	num-7807919	yr-2010	Solar Inverter	Los Gatos  CA	CA	CA	USA	topic-8	Solar Inverter
pat0770	num-13/318 589	yr-2012	Solar Inverter	Boulder  CO	CO	CO	USA	topic-0	Solar Inverter
pat0421	num-12/368 887	yr-2009	Solar Mounting/Rack	Santa Clara  CA	CA	CA	USA	topic-14	Solar Mounting/Rack
pat0419	num-12/362 671	yr-2009	Solar Mounting/Rack	Warrenville  IL	IL	IL	USA	topic-2	Solar Mounting/Rack
pat0239	num-8184460	yr-2012	Solar Inverter	Niskayuna  NY	NY	NY	USA	topic-0	Solar Inverter
pat0336	num-11/465 787	yr-2008	Solar Mounting/Rack	San Jose  CA	CA	CA	USA	topic-8	Solar Inverter
pat0328	num-11/046 201	yr-2005	Solar Mounting/Rack	Kyoto	N/A	N/A	Japan	topic-2	Solar Mounting/Rack
pat0564	num-12/862 205	yr-2012	Solar Monitoring	Moriguchi City	N/A	N/A	Japan	topic-7	Solar Inverter
pat0662	num-13/075 093	yr-2012	Solar Monitoring	Los Gatos  CA	CA	CA	USA	topic-12	Solar Mounting/Rack
pat0572	num-12/892 130	yr-2012	Solar Monitoring	Schenectady  NY	NY	NY	USA	topic-3	Solar Monitoring
pat0127	num-7866098	yr-2011	Solar Mounting/Rack	Saratoga  CA	CA	CA	USA	topic-12	Solar Mounting/Rack
pat0243	num-8192233	yr-2012	Solar Mounting/Rack	Berwyn  PA	PA	PA	USA	topic-9	Solar Mounting/Rack
pat0560	num-12/856 827	yr-2011	Solar Mounting/Rack	Colorado Springs  CO	CO	CO	USA	topic-14	Solar Mounting/Rack
pat0448	num-12/491 641	yr-2011	Solar Monitoring	Snoqualmie  WA	WA	WA	USA	topic-9	Solar Mounting/Rack
pat0011	num-7155870	yr-2007	Solar Mounting/Rack	Berkeley  CA	CA	CA	USA	topic-2	Solar Mounting/Rack
pat0002	num-6928775	yr-2005	Solar Mounting/Rack	Tucson  AZ	AZ	AZ	USA	topic-13	Solar Mounting/Rack
pat0661	num-13/070 769	yr-2011	Solar Inverter	Niestetal	N/A	N/A	Germany	topic-0	Solar Inverter
pat0430	num-12/393 009	yr-2010	Solar Inverter	Mountain View  CA	CA	CA	USA	topic-11	Solar Inverter
pat0003	num-6930238	yr-2005	Solar Mounting/Rack	Tokyo	N/A	N/A	Japan	topic-2	Solar Mounting/Rack
pat0001	num-6914418	yr-2005	Solar Inverter	Taipei	N/A	N/A	Taiwan	topic-0	Solar Inverter
pat0428	num-12/391 623	yr-2009	Solar Mounting/Rack	Hopewell  NJ	NJ	NJ	USA	topic-14	Solar Mounting/Rack
pat0166	num-7977818	yr-2011	Solar Inverter	New Castle  CO	CO	CO	USA	topic-6	Solar Inverter
pat0454	num-12/525 794	yr-2010	Solar Mounting/Rack	Blomberg	N/A	N/A	Germany	topic-9	Solar Mounting/Rack
pat0148	num-7921607	yr-2011	Solar Mounting/Rack	Novato  CA	CA	CA	USA	topic-4	Solar Mounting/Rack
pat0473	num-12/581 793	yr-2010	Solar Mounting/Rack	Fort Collins  CO	CO	CO	USA	topic-8	Solar Inverter
pat0553	num-12/846 057	yr-2012	Solar Inverter	Schenectady  NY	NY	NY	USA	topic-7	Solar Inverter
pat0540	num-12/800 917	yr-2010	Solar Monitoring	Orinda  CA	CA	CA	USA	topic-8	Solar Inverter
pat0189	num-8058747	yr-2011	Solar Inverter	Los Gatos  CA	CA	CA	USA	topic-0	Solar Inverter
pat0549	num-12/831 806	yr-2011	Solar Mounting/Rack	Town And Country  MO	MO	MO	USA	topic-14	Solar Mounting/Rack
pat0330	num-11/278 916	yr-2007	Solar Inverter	Victoria	N/A	N/A	Canada	topic-11	Solar Inverter
pat0061	num-7610174	yr-2009	Solar Monitoring	Santa Clara  CA	CA	CA	USA	topic-5	Solar Monitoring
pat0352	num-11/780 721	yr-2008	Solar Mounting/Rack	Rochester  MI	MI	MI	USA	topic-4	Solar Mounting/Rack
pat0538	num-12/794 307	yr-2010	Solar Mounting/Rack	Perrysburg  OH	OH	OH	USA	topic-14	Solar Mounting/Rack
pat0310	num-8326535	yr-2012	Site Assessment	Napa  CA	CA	CA	USA	topic-1	Site Assessment
pat0092	num-7779290	yr-2010	Solar Monitoring	San Jose  CA	CA	CA	USA	topic-5	Solar Monitoring
pat0751	num-13/273 512	yr-2012	Solar Inverter	Niestetal	N/A	N/A	Germany	topic-11	Solar Inverter
pat0411	num-12/322 897	yr-2009	Solar Inverter	Niestetal	N/A	N/A	Germany	topic-0	Solar Inverter
pat0444	num-12/472 938	yr-2010	Solar Monitoring	Haslach	N/A	N/A	Germany	topic-3	Solar Monitoring
pat0591	num-12/912 552	yr-2012	Solar Mounting/Rack	Lee Vining  CA	CA	CA	USA	topic-13	Solar Mounting/Rack
pat0684	num-13/103 721	yr-2011	Solar Inverter	Fort Collins  CO	CO	CO	USA	topic-6	Solar Inverter
pat0262	num-8219259	yr-2012	Solar Monitoring	Armonk  NY	NY	NY	USA	topic-3	Solar Monitoring
pat0156	num-7940032	yr-2011	Solar Inverter	Gyunggi-do	N/A	N/A	South Korea	topic-6	Solar Inverter
pat0565	num-12/862 742	yr-2012	Solar Monitoring	Los Gatos  CA	CA	CA	USA	topic-7	Solar Inverter
pat0436	num-12/424 763	yr-2009	Solar Monitoring	Zhangzhou	N/A	N/A	China	topic-12	Solar Mounting/Rack
pat0807	num-13/427 163	yr-2012	Solar Inverter	Seoul	N/A	N/A	South Korea	topic-11	Solar Inverter
pat0752	num-13/273 525	yr-2012	Solar Mounting/Rack	Athens  OH	OH	OH	USA	topic-2	Solar Mounting/Rack
pat0636	num-13/028 122	yr-2011	Solar Inverter	Fremont  CA	CA	CA	USA	topic-0	Solar Inverter
pat0220	num-8138630	yr-2012	Solar Monitoring	Albuquerque  NM	NM	NM	USA	topic-6	Solar Inverter
pat0517	num-12/736 943	yr-2011	Solar Monitoring	Tokyo	N/A	N/A	Japan	topic-12	Solar Mounting/Rack
pat0469	num-12/564 783	yr-2010	Solar Mounting/Rack	Alameda  CA	CA	CA	USA	topic-4	Solar Mounting/Rack
pat0221	num-8138638	yr-2012	Solar Inverter	Niestetal	N/A	N/A	Germany	topic-0	Solar Inverter
pat0361	num-11/879 054	yr-2009	Solar Inverter	Petaluma  CA	CA	CA	USA	topic-12	Solar Mounting/Rack
pat0114	num-7834471	yr-2010	Solar Monitoring	Waterford  MI	MI	MI	USA	topic-3	Solar Monitoring
pat0689	num-13/118 791	yr-2011	Solar Mounting/Rack	Tulsa  OK	OK	OK	USA	topic-12	Solar Mounting/Rack
pat0499	num-12/676 138	yr-2010	Solar Mounting/Rack	San Jose  CA	CA	CA	USA	topic-14	Solar Mounting/Rack
pat0690	num-13/126 255	yr-2011	Solar Mounting/Rack	Friesenried	N/A	N/A	Germany	topic-14	Solar Mounting/Rack
pat0660	num-13/070 351	yr-2012	Solar Monitoring	San Jose  CA	CA	CA	USA	topic-5	Solar Monitoring
pat0468	num-12/564 774	yr-2010	Solar Mounting/Rack	Alameda  CA	CA	CA	USA	topic-4	Solar Mounting/Rack
pat0625	num-12/994 713	yr-2011	Solar Mounting/Rack	Lyon	N/A	N/A	France	topic-14	Solar Mounting/Rack
pat0829	num-13/475 460	yr-2012	Solar Inverter	Petaluma  CA	CA	CA	USA	topic-0	Solar Inverter
pat0253	num-8205400	yr-2012	Solar Mounting/Rack	Rochester Hills  MI	MI	MI	USA	topic-4	Solar Mounting/Rack
pat0000	num-6882063	yr-2005	Solar Inverter	Calgary	N/A	N/A	Canada	topic-6	Solar Inverter
pat0438	num-12/434 641	yr-2010	Solar Inverter	Maple Glen  PA	PA	PA	USA	topic-0	Solar Inverter
pat0194	num-8068352	yr-2011	Solar Inverter	Peoria  IL	IL	IL	USA	topic-6	Solar Inverter
pat0159	num-7960863	yr-2011	Solar Inverter	Bend  OR	OR	OR	USA	topic-11	Solar Inverter
pat0512	num-12/723 476	yr-2010	Solar Mounting/Rack	Boulder  CO	CO	CO	USA	topic-2	Solar Mounting/Rack
pat0339	num-11/558 659	yr-2007	Solar Mounting/Rack	Dusseldorf	N/A	N/A	Germany	topic-14	Solar Mounting/Rack
pat0702	num-13/158 711	yr-2012	Solar Inverter	Milpitas  CA	CA	CA	USA	topic-6	Solar Inverter
pat0833	num-13/490 084	yr-2012	Solar Monitoring	Freemont  CA	CA	CA	USA	topic-5	Solar Monitoring
pat0515	num-12/732 649	yr-2011	Solar Mounting/Rack	San Jose  CA	CA	CA	USA	topic-2	Solar Mounting/Rack
pat0295	num-8294286	yr-2012	Solar Inverter	Troy  OH	OH	OH	USA	topic-3	Solar Monitoring
pat0270	num-8232681	yr-2012	Solar Inverter	Schenectady  NY	NY	NY	USA	topic-6	Solar Inverter
pat0406	num-12/288 956	yr-2009	Solar Monitoring	Hollsboro  OR	OR	OR	USA	topic-5	Solar Monitoring
pat0529	num-12/777 224	yr-2010	Site Assessment	New York  NY	NY	NY	USA	topic-5	Solar Monitoring
pat0754	num-13/277 878	yr-2012	Solar Mounting/Rack	Lafayette  CO	CO	CO	USA	topic-14	Solar Mounting/Rack
pat0317	num-8338989	yr-2012	Solar Inverter	Perrysburg  OH	OH	OH	USA	topic-6	Solar Inverter
pat0552	num-12/845 802	yr-2012	Solar Inverter	Schenectady  NY	NY	NY	USA	topic-6	Solar Inverter
pat0403	num-12/275 147	yr-2009	Solar Mounting/Rack	Albuquerque  NM	NM	NM	USA	topic-14	Solar Mounting/Rack
pat0676	num-13/091 960	yr-2011	Solar Mounting/Rack	Richmond  CA	CA	CA	USA	topic-14	Solar Mounting/Rack
pat0110	num-7824189	yr-2010	Solar Mounting/Rack	Berwyn  PA	PA	PA	USA	topic-9	Solar Mounting/Rack
pat0722	num-13/200 190	yr-2012	Solar Inverter	Westford  MA	MA	MA	USA	topic-9	Solar Mounting/Rack
pat0083	num-7748175	yr-2010	Solar Mounting/Rack	Albuquerque  NM	NM	NM	USA	topic-14	Solar Mounting/Rack
pat0396	num-12/218 507	yr-2009	Solar Monitoring	Marrickville	N/A	N/A	Australia	topic-3	Solar Monitoring
pat0238	num-8183457	yr-2012	Solar Mounting/Rack	San Diego  CA	CA	CA	USA	topic-13	Solar Mounting/Rack
pat0165	num-7974079	yr-2011	Solar Mounting/Rack	Armonk  NY	NY	NY	USA	topic-9	Solar Mounting/Rack
pat0713	num-13/181 269	yr-2012	Solar Inverter	Fort Collins  CO	CO	CO	USA	topic-1	Site Assessment
pat0695	num-13/138 413	yr-2011	Solar Mounting/Rack	Pettenbach	N/A	N/A	Austria	topic-9	Solar Mounting/Rack
pat0584	num-12/904 972	yr-2011	Solar Monitoring	San Jose  CA	CA	CA	USA	topic-12	Solar Mounting/Rack
pat0592	num-12/914 599	yr-2011	Solar Mounting/Rack	Poway  CA	CA	CA	USA	topic-2	Solar Mounting/Rack
pat0201	num-8094475	yr-2012	Solar Inverter	Niestetal	N/A	N/A	Germany	topic-0	Solar Inverter
pat0803	num-13/423660	yr-2012	Solar Mounting/Rack	Valley Forge  PA	PA	PA	USA	topic-4	Solar Mounting/Rack
pat0783	num-13/361 289	yr-2012	Solar Monitoring	Freising	N/A	N/A	Germany	topic-11	Solar Inverter
pat0624	num-12/993 003	yr-2011	Solar Mounting/Rack	Nunawading	N/A	N/A	Australia	topic-14	Solar Mounting/Rack
pat0340	num-11/560 186	yr-2008	Solar Inverter	Redding  CT	CT	CT	USA	topic-6	Solar Inverter
pat0514	num-12/730 012	yr-2010	Solar Monitoring	San Diego  CA	CA	CA	USA	topic-5	Solar Monitoring
pat0105	num-7817419	yr-2010	Solar Inverter	Wagen	N/A	N/A	Germany	topic-13	Solar Mounting/Rack
pat0234	num-8174856	yr-2012	Solar Monitoring	Austin  TX	TX	TX	USA	topic-6	Solar Inverter
pat0620	num-12/974 469	yr-2012	Solar Inverter	Schenectady  NY	NY	NY	USA	topic-6	Solar Inverter
pat0345	num-11/664 741	yr-2009	Solar Inverter	Hamburg	N/A	N/A	Germany	topic-0	Solar Inverter
pat0513	num-12/729 304	yr-2011	Solar Inverter	Cleveland  OH	OH	OH	USA	topic-6	Solar Inverter
pat0048	num-7498953	yr-2009	Solar Monitoring	Ocala  FL	FL	FL	USA	topic-5	Solar Monitoring
pat0184	num-8035257	yr-2011	Solar Inverter	Petaluma  CA	CA	CA	USA	topic-6	Solar Inverter
pat0813	num-13/437 357	yr-2012	Solar Inverter	Seoul	N/A	N/A	South Korea	topic-6	Solar Inverter
pat0200	num-8093757	yr-2012	Solar Inverter	Los Gatos  CA	CA	CA	USA	topic-0	Solar Inverter
pat0025	num-7324361	yr-2008	Solar Inverter	Torrance  CA	CA	CA	USA	topic-0	Solar Inverter
pat0489	num-12/619 322	yr-2010	Solar Monitoring	Albuquerque  NM	NM	NM	USA	topic-12	Solar Mounting/Rack
pat0322	num-10/835 737	yr-2005	Solar Mounting/Rack	Pleasanton  CA	CA	CA	USA	topic-2	Solar Mounting/Rack
pat0377	num-12/102 557	yr-2009	Solar Mounting/Rack	Troutman  NC	NC	NC	USA	topic-2	Solar Mounting/Rack
pat0650	num-13/047 005	yr-2012	Solar Inverter	San Jose  CA	CA	CA	USA	topic-11	Solar Inverter
pat0329	num-11/243 522	yr-2007	Solar Mounting/Rack	San Jose  CA	CA	CA	USA	topic-13	Solar Mounting/Rack
pat0258	num-8212409	yr-2012	Solar Inverter	Niestetal	N/A	N/A	Germany	topic-10	Solar Inverter
pat0388	num-12/158 419	yr-2008	Solar Mounting/Rack	Muchamiel	N/A	N/A	Spain	topic-13	Solar Mounting/Rack
pat0738	num-13/237 980	yr-2012	Solar Inverter	New Taipei City	N/A	N/A	Taiwan	topic-0	Solar Inverter
pat0176	num-8018748	yr-2011	Solar Inverter	Niskayuna  NY	NY	NY	USA	topic-7	Solar Inverter
pat0728	num-13/214 308	yr-2012	Solar Mounting/Rack	FUKUOKA	N/A	N/A	Japan	topic-2	Solar Mounting/Rack
pat0522	num-12/757 686	yr-2010	Solar Mounting/Rack	Bensheim	N/A	N/A	Germany	topic-7	Solar Inverter
pat0023	num-7307209	yr-2007	Solar Mounting/Rack	Perrysburg  OH	OH	OH	USA	topic-14	Solar Mounting/Rack
pat0101	num-7812247	yr-2010	Solar Mounting/Rack	Littleton  CO	CO	CO	USA	topic-7	Solar Inverter
pat0016	num-7227278	yr-2007	Solar Inverter	Hauppauge  NY	NY	NY	USA	topic-6	Solar Inverter
