PatId	Year	OrigTechArea	city	state	state	country	topicId	ourTechArea	ourCPCnum1	ourCPCnum2	ourCPCnum3
pat0676	2010	Solar Mounting/Rack	Poway  CA	CA	CA	USA	10	Solar Mounting/Rack	F24J	Y02E	H01L
pat0737	2007	Solar Mounting/Rack	Berkeley  CA	CA	CA	USA	10	Solar Mounting/Rack	F24J	Y02E	H01L
pat0562	2012	Solar Monitoring	Freising	N/A	N/A	Germany	9	Solar Mounting/Rack	Y02E	H01L	F24J
pat0423	2009	Solar Inverter	Niestetal			Germany	3	Solar Mounting/Rack	H01L	Y02E	F24J
pat0027	2008	Solar Monitoring	Mineola  NY	NY	NY	USA	11	Solar Monitoring	H04Q	Y04S	G01D
pat0166	2011	Solar Inverter- Solar Monitoring	New Castle  CO	CO	CO	USA	0	Solar Inverter	Y02E	H02J	H02M
pat0173	2011	Solar Monitoring	San Jose  CA	CA	CA	USA	14	Solar Inverter	H02M	Y02E	Y02B
pat0032	2008	Solar Monitoring	Taipei Hsien	N/A	N/A	Taiwan	12	Solar Inverter	Y02E	H02J	H02M
pat0436	2011	Solar Inverter	Austin  TX	TX	TX	USA	2	Solar Inverter	H02J	Y02E	H02M
pat0577	2008	Solar Monitoring- Solar Inverter	Schenectady  NY	NY	NY	USA	2	Solar Inverter	H02J	Y02E	H02M
pat0596	2011	Solar Mounting/Rack	Richmond  CA	CA	CA	USA	10	Solar Mounting/Rack	F24J	Y02E	H01L
pat0159	2011	Solar Inverter- Solar Monitoring	Bend  OR	OR	OR	USA	0	Solar Inverter	Y02E	H02J	H02M
pat0655	2012	Solar Mounting/Rack	Suffern  NY	NY	NY	USA	10	Solar Mounting/Rack	F24J	Y02E	H01L
pat0018	2007	Solar Inverter	Dearborn  MI	MI	MI	USA	8	Solar Inverter	Y02E	H02J	G01R
pat0714	2010	Solar Mounting/Rack	Santa Clara  CA	CA	CA	USA	1	Solar Mounting/Rack	H01L	Y02E	F24J
pat0701	2011	Solar Mounting/Rack	Pontiac  MI	USA	USA	USA	10	Solar Mounting/Rack	F24J	Y02E	H01L
pat0187	2011	Solar Inverter- Solar Monitoring	Ravensburg			Germany	4	Solar Monitoring	H02J	Y02B	Y02E
pat0640	2011	Solar Mounting/Rack	Eagan  MN	MN	MN	USA	4	Solar Monitoring	H02J	Y02B	Y02E
pat0244	2012	Solar Inverter	Fisciano			Italy	2	Solar Inverter	H02J	Y02E	H02M
pat0548	2009	Solar Monitoring	Tokyo	N/A	N/A	Japan	14	Solar Inverter	H02M	Y02E	Y02B
pat0583	2009	Solar Monitoring- Solar Inverter	Los Gatos  CA	CA	CA	USA	2	Solar Inverter	H02J	Y02E	H02M
pat0409	2012	Solar Inverter	Hayward  CA	CA	CA	USA	14	Solar Inverter	H02M	Y02E	Y02B
pat0654	2012	Solar Mounting/Rack	Nederland  CO	CO	CO	USA	10	Solar Mounting/Rack	F24J	Y02E	H01L
pat0193	2011	Solar Monitoring	Cambridgeshire  GB			GB	4	Solar Monitoring	H02J	Y02B	Y02E
pat0715	2010	Solar Mounting/Rack	Santa Clara  CA	CA	CA	USA	5	Solar Mounting/Rack	Y02E	H01L	Y02B
pat0019	2007	Solar Mounting/Rack	Albuquerque  NM	NM	NM	USA	12	Solar Inverter	Y02E	H02J	H02M
pat0597	2011	Solar Mounting/Rack	Wallingford  CT	CT	CT	USA	1	Solar Mounting/Rack	H01L	Y02E	F24J
pat0549	2010	Solar Monitoring	Alexandria  VA	VA	VA	USA	6	Solar Monitoring	G01R	Y04S	Y02B
pat0582	2011	Solar Monitoring- Solar Inverter	Beit Aharon			Israel	5	Solar Mounting/Rack	Y02E	H01L	Y02B
pat0408	2008	Solar Inverter	Hayward  CA	CA	CA	USA	8	Solar Inverter	Y02E	H02J	G01R
pat0700	2010	Solar Mounting/Rack	Armonk  NY	NY	NY	USA	3	Solar Mounting/Rack	H01L	Y02E	F24J
pat0641	2011	Solar Mounting/Rack	Athens  OH	OH	OH	USA	10	Solar Mounting/Rack	F24J	Y02E	H01L
pat0186	2011	Solar Inverter	Niestetal			Germany	14	Solar Inverter	H02M	Y02E	Y02B
pat0026	2008	Solar Monitoring	Warrenville  IL	IL	IL	USA	8	Solar Inverter	Y02E	H02J	G01R
pat0167	2011	Solar Inverter	Petaluma  CA	CA	CA	USA	2	Solar Inverter	H02J	Y02E	H02M
pat0563	2011	Solar Monitoring	Dallas  TX	TX	TX	USA	11	Solar Monitoring	H04Q	Y04S	G01D
pat0422	2009	Solar Inverter	Niestetal			Germany	3	Solar Mounting/Rack	H01L	Y02E	F24J
pat0437	2011	Solar Inverter	Austin  TX	TX	TX	USA	2	Solar Inverter	H02J	Y02E	H02M
pat0576	2011	Solar Monitoring- Solar Inverter	Cary  NC	NC	NC	USA	0	Solar Inverter	Y02E	H02J	H02M
pat0172	2011	Solar Inverter- Solar Monitoring	Herzelia			Israel	6	Solar Monitoring	G01R	Y04S	Y02B
pat0033	2008	Solar Inverter	Bend  OR	OR	OR	USA	14	Solar Inverter	H02M	Y02E	Y02B
pat0327	2009	Solar Inverter	Washington  DC	DC	DC	USA	11	Solar Monitoring	H04Q	Y04S	G01D
pat0723	2008	Solar Mounting/Rack	Los Altos  CA	CA	CA	USA	10	Solar Mounting/Rack	F24J	Y02E	H01L
pat0662	2011	Solar Mounting/Rack	Boulder  CO	CO	CO	USA	1	Solar Mounting/Rack	H01L	Y02E	F24J
pat0677	2009	Solar Mounting/Rack	Jacksonville  FL	FL	FL	USA	3	Solar Mounting/Rack	H01L	Y02E	F24J
pat0736	2008	Solar Mounting/Rack	Milan	Italy	Italy	Italy	10	Solar Mounting/Rack	F24J	Y02E	H01L
pat0332	2010	Site Assessment	Surrey  CA	CA	CA	USA	6	Solar Monitoring	G01R	Y04S	Y02B
pat0273	2012	Solar Inverter	Schenectady  NY	NY	NY	USA	2	Solar Inverter	H02J	Y02E	H02M
pat0414	2012	Solar Inverter	Webster  NY	NY	NY	USA	13	Solar Inverter	H01L	F05B	Y02E
pat0318	2009	Solar Inverter	Cleveland  OH	OH	OH	USA	0	Solar Inverter	Y02E	H02J	H02M
pat0555	2010	Solar Monitoring	Palatine  IL	IL	IL	USA	4	Solar Monitoring	H02J	Y02B	Y02E
pat0259	2012	Solar Mounting/Rack	Kolitzheim			Germany	10	Solar Mounting/Rack	F24J	Y02E	H01L
pat0696	2007	Solar Mounting/Rack	Schwedt			Germany	10	Solar Mounting/Rack	F24J	Y02E	H01L
pat0151	2011	Solar Inverter	Sunnyvale  CA	CA	CA	USA	0	Solar Inverter	Y02E	H02J	H02M
