PatId	Patnum	Year	OrigTechArea	city	state	state	country	topicId	ourTechArea	origCPC1	origCPC2	origCPC3	ourCPCnum1	ourCPCnum2	ourCPCnum3	GeoCode
pat0122	num-7849849	yr2010	Solar Mounting/Rack	Rangsdorf	N/A	N/A	Germany	2	Solar Mounting/Rack	F24J	Y02E	Y02B	F24J	Y02E	H01L	germany
pat0622	num-12/977 001	yr2012	Solar Mounting/Rack	San Jose  CA	CA	CA	USA	2	Solar Mounting/Rack				F24J	Y02E	H01L	Bay_Area
pat0633	num-13/016 901	yr2012	Solar Monitoring	Linden  CA	CA	CA	USA	3	Solar Monitoring	G05B			Y02E	H02J	Y02B	Other_CA
pat0673	num-13/089 916	yr2011	Solar Monitoring	Dresden	N/A	N/A	Germany	11	Solar Inverter	Y02E	H02J		Y02E	G05F	H02J	germany
pat0512	num-12/723 476	yr2010	Solar Mounting/Rack	Boulder  CO	CO	CO	USA	2	Solar Mounting/Rack	Y02E	F24J	Y02E	F24J	Y02E	H01L	CO
pat0615	num-12/961 249	yr2011	Solar Mounting/Rack	Alameda  CA	CA	CA	USA	4	Solar Mounting/Rack	H01L	Y02B	Y02E	Y02E	Y02B	H01L	Bay_Area
pat0273	num-8242634	yr2012	Solar Inverter	Fort Collins  CO	CO	CO	USA	4	Solar Mounting/Rack	Y02E	Y02B	H02M	Y02E	Y02B	H01L	CO
pat0270	num-8232681	yr2012	Solar Inverter	Schenectady  NY	NY	NY	USA	6	Solar Inverter	H02J			Y02E	H02J	Y02B	NY
pat0214	num-8130518	yr2012	Solar Inverter	Rancocas  NJ	NJ	NJ	USA	6	Solar Inverter	H02M			Y02E	H02J	Y02B	NJ
pat0153	num-7929326	yr2011	Solar Inverter	Sunnyvale  CA	CA	CA	USA	0	Solar Inverter	H02M			H02M	Y02E	H02J	Bay_Area
pat0569	num-12/873 174	yr2011	Solar Mounting/Rack	Providence  RI	RI	RI	USA	2	Solar Mounting/Rack	F24J	Y02E	H01L	F24J	Y02E	H01L	RI
pat0127	num-7866098	yr2011	Solar Mounting/Rack	Saratoga  CA	CA	CA	USA	12	Solar Mounting/Rack	F24J	Y02E	H01L	Y02E	H01L	F24J	Bay_Area
pat0060	num-7605498	yr2009	Solar Inverter	Fort Collins  CO	CO	CO	USA	6	Solar Inverter	Y02E	Y02B	H02M	Y02E	H02J	Y02B	CO
pat0732	num-13/227 652	yr2012	Solar Mounting/Rack	Freemont  CA	CA	CA	Canada	5	Solar Monitoring	G01S	F24J	H01L	G06Q	Y02E	G01W	other
pat0148	num-7921607	yr2011	Solar Mounting/Rack	Novato  CA	CA	CA	USA	4	Solar Mounting/Rack	Y02E	F24J	Y02B	Y02E	Y02B	H01L	Bay_Area
pat0341	num-11/564 313	yr2008	Solar Inverter	Schenectady  NY	NY	NY	USA	0	Solar Inverter	H02M	Y02E		H02M	Y02E	H02J	NY
pat0396	num-12/218 507	yr2009	Solar Monitoring	Marrickville	N/A	N/A	Australia	3	Solar Monitoring	G06Q			Y02E	H02J	Y02B	oceana
pat0119	num-7845128	yr2010	Solar Mounting/Rack	Alameda  CA	CA	CA	USA	4	Solar Mounting/Rack	H01L	Y02B	Y02E	Y02E	Y02B	H01L	Bay_Area
pat0595	num-12/919 841	yr2011	Solar Mounting/Rack	Philadelphia  PA	PA	PA	USA	13	Solar Mounting/Rack	E04D	Y02E	H01L	H01L	Y02E	Y02B	PA
pat0002	num-6928775	yr2005	Solar Mounting/Rack	Tucson  AZ	AZ	AZ	USA	13	Solar Mounting/Rack	Y02B	H01L	Y02E	H01L	Y02E	Y02B	AZ
