pid, patent #, year,  tech area, title, city, state, country, url, status, cpc_class,cpc1,cpc2,cpc3
pat0518,12/742 421,2010,Solar Mounting/Rack,ELECTRICAL ENERGY AND DISTRIBUTION SYSTEM,Tomago,N/A,Australia,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220100320837%22.PGNR.&OS=DN/20100320837&RS=DN/20100320837,valid,H02J 3/36 20130101; H02J 3/382 20130101; H02M 2001/0074 20130101; H02M 2001/0077 20130101; H02M 2001/008 20130101,H02M,H02J,
pat0519,12/742 554,2012,Solar Mounting/Rack,JUNCTION BOX FOR A PHOTOVOLTAIC SOLAR PANEL,Santa Clara  CA,CA,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220120060919%22.PGNR.&OS=DN/20120060919&RS=DN/20120060919,valid,H01L 31/0485 20130101; H01R 11/09 20130101; H01R 13/6641 20130101; H01R 31/065 20130101; Y02E 10/50 20130101,H01R,Y02E,H01L
pat0520,12/745 345,2011,Solar Inverter,ELECTRIC CIRCUIT FOR CONVERTING DIRECT CURRENT INTO ALTERNATING CURRENT,Sarriguren,N/A,Spain,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220110019453%22.PGNR.&OS=DN/20110019453&RS=DN/20110019453,valid,H02J 3/383 20130101; H02M 7/48 20130101; H02M 7/487 20130101; Y02E 10/56 20130101,H02M,Y02E,H02J
pat0521,12/757 166,2010,Solar Inverter,Photovoltaic Inverter with Option for Switching Between a Power Supply System with a Fixed Frequency and a Load Variable Frequency ,Ludenscheid,N/A,Germany,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220100220508%22.PGNR.&OS=DN/20100220508&RS=DN/20100220508,valid,H02J 3/382 20130101; H02J 7/35 20130101; Y02E 10/563 20130101; Y02E 10/566 20130101,Y02E,H02J,
pat0522,12/757 686,2010,Solar Mounting/Rack,Connecting device for a photovoltaic solar module  method for the production thereof and solar installation with such a connecting device ,Bensheim,N/A,Germany,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220100259105%22.PGNR.&OS=DN/20100259105&RS=DN/20100259105,valid,H01L 31/0485 20130101; H01R 13/6641 20130101; H02G 3/16 20130101; Y02E 10/50 20130101,Y02E,H01R,H02G
pat0523,12/757 989 ,2010,Solar Monitoring,Adaptive Power Control for Energy Harvesting ,Richardson  TX,TX,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220100259225%22.PGNR.&OS=DN/20100259225&RS=DN/20100259225,valid,H02J 7/0073 20130101; H02J 7/35 20130101,H02J,,
pat0524,12/759 652,2011,Solar Inverter,SOLAR POWER INVERTERS  INCLUDING SOLAR POWER INVERTERS HAVING SURGE PROTECTIVE DEVICES  AND ASSOCIATED METHODS ,Fort Collins  CO,CO,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220110211290%22.PGNR.&OS=DN/20110211290&RS=DN/20110211290,valid,H02H 7/122 20130101; H02H 9/04 20130101; Y02E 10/56 20130101,H02H,Y02E,
pat0525,12/768 637,2010,Solar Mounting/Rack,Photovoltaic System  a Terminal Box Thereof and a Voltage Converting Device,Wuxi,N/A,China,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220100275991%22.PGNR.&OS=DN/20100275991&RS=DN/20100275991,valid,H01L 31/0428 20130101; H01L 31/0485 20130101; Y02E 10/50 20130101,H01L,Y02E,
pat0526,12/771 079,2010,Solar Mounting/Rack,MOUNTING SYSTEMS FOR SOLAR PANELS,Saline  MI,MI,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220100276558%22.PGNR.&OS=DN/20100276558&RS=DN/20100276558,valid,F16B 7/0486 20130101; F16B 9/023 20130101; F24J 2/5205 20130101; F24J 2/5232 20130101; F24J 2/5245 20130101; F24J 2/5258 20130101; F24J 2/526 20130101; F24J 2002/4672 20130101; F24J 2002/5216 20130101; F24J 2002/5226 20130101; Y02E 10/47 20130101,F24J,F16B,Y02E
pat0527,12/772756,2011,Solar Mounting/Rack,METHODS AND APPARATUSES TO SUPPORT PHOTOVOLTAIC MODULES,San Jose  CA,CA,USA,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220110265860%22.PGNR.&OS=DN/20110265860&RS=DN/20110265860,valid,F24J 2/52 20130101; F24J 2/5252 20130101; H01L 31/0422 20130101; Y02E 10/50 20130101,F24J,Y02E,H01L
