pid, patent #, year,  tech area, title, city, state, country, url, status, cpc_class,cpc1,cpc2,cpc3
pat0010,7126294,2006,Solar Inverter,Method and device for controlling photovoltaic inverter  and feed water device,Tokyo,,Japan,http://patft.uspto.gov/netacgi/nph-Parser?Sect2=PTO1&Sect2=HITOFF&p=1&u=/netahtml/PTO/search-bool.html&r=1&f=G&l=50&d=PALL&RefSrch=yes&Query=PN/7126294,valid,G05F 1/67 (20130101); H02J 7/35 (20130101); H02M 7/53875 (20130101); H02P 27/06 (20130101); H02M 2001/0022 (20130101); Y02E 10/566 (20130101); Y02E 10/58 (20130101),Y02E,H02M,Y02E
pat0011,7155870,2007,Solar Mounting/Rack ,Shingle assembly with support bracket,Berkeley  CA,CA,USA,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=116&f=G&l=50&d=PTXT&s1=%28mounting.CLTX.+or+mounting.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=3&OS=ACLM/mounting+AND+ACLM/,invalid url,,,,
pat0012,7156088,2007,Solar Mounting/Rack  ,Solar collector mounting array,Pasadena  CA,CA,USA,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PALL&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.htm&r=1&f=G&l=50&s1=7156088.PN.&OS=PN/7156088&RS=PN/7156088,valid,F24J 2/16 (20130101); F24J 2/5203 (20130101); F24J 2/5228 (20130101); F24J 2/525 (20130101); F24J 2/5256 (20130101); F24J 2/526 (20130101); F24J 2/5406 (20130101); F24J 2/542 (20130101); F24J 2/5431 (20130101); H01L 31/0522 (20130101); F24J 2/4638 (20130101); F24J 2/523 (20130101); F24J 2/5233 (20130101); F24J 2002/467 (20130101); F24J 2002/5292 (20130101); F24J 2002/5441 (20130101); F24J 2002/5451 (20130101); F24J 2002/5458 (20130101); F24J 2002/5465 (20130101); F24J 2002/5468 (20130101); Y02B 10/20 (20130101); Y02E 10/47 (20130101); Y02E 10/52 (20130101),F24J,Y02E,H01L
pat0013,7158395,2007,Solar Inverter,Method and apparatus for tracking maximum power point for inverters  for example  in photovoltaic applications ,Dearborn  MI,MI,USA,http://patft.uspto.gov/netacgi/nph-Parser?Sect2=PTO1&Sect2=HITOFF&p=1&u=/netahtml/PTO/search-bool.html&r=1&f=G&l=50&d=PALL&RefSrch=yes&Query=PN/7158395,valid,G05F 1/67 (20130101); Y02E 10/58 (20130101),Y02E,G05F,
pat0014,7161082,2007,Solar Inverter; Solar Monitoring,Photovoltaic power generation systems and methods of controlling photovoltaic power generation systems,Tokyo,,Japan,http://patft.uspto.gov/netacgi/nph-Parser?Sect2=PTO1&Sect2=HITOFF&p=1&u=/netahtml/PTO/search-bool.html&r=1&f=G&l=50&d=PALL&RefSrch=yes&Query=PN/7161082,valid,G08B 13/128 (20130101); H01L 31/02021 (20130101); H01L 31/048 (20130101); Y02E 10/50 (20130101),H01L,Y02E,G08B
pat0015,7187277,2007,Solar Monitoring,Monitoring terminal device,Tokyo,N/A,Japan,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PALL&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.htm&r=1&f=G&l=50&s1=7187277.PN.&OS=PN/7187277&RS=PN/7187277,valid,G08B 13/00 (20130101); G08B 15/004 (20130101); G08B 17/00 (20130101); G08B 21/00 (20130101); G08B 23/00 (20130101); G08B 25/007 (20130101); G08B 25/10 (20130101); G08B 29/12 (20130101),G08B,,
pat0016,7227278,2007,Solar Inverter,Multiple bi-directional input/output power control system ,Hauppauge  NY,NY,USA,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=133&f=G&l=50&d=PTXT&s1=%28inverter.CLTX.+or+inverter.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=3&OS=ACLM/inverter+AND+ACLM/,valid,G01R 31/405 (20130101); G01R 31/02 (20130101); H01L 31/042 (20130101),G01R,H01L,
pat0017,7230532,2007,Solar Monitoring,Wireless sensor system ,Oberhaching,,Germany,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PALL&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.htm&r=1&f=G&l=50&s1=7230532.PN.&OS=PN/7230532&RS=PN/7230532,valid,G01D 21/00 (20130101); G08C 17/02 (20130101); H05B 39/042 (20130101); Y02B 20/14 (20130101),G01D,H05B,G08C
pat0018,7256566,2007,Solar Inverter,Method and apparatus for determining a maximum power point of photovoltaic cells,Dearborn  MI,MI,USA,http://patft.uspto.gov/netacgi/nph-Parser?Sect2=PTO1&Sect2=HITOFF&p=1&u=/netahtml/PTO/search-bool.html&r=1&f=G&l=50&d=PALL&RefSrch=yes&Query=PN/7256566,valid,G05F 1/67 (20130101); Y02E 10/58 (20130101),Y02E,G05F,
pat0019,7260918,2007,Solar Mounting/Rack  ,Apparatus and method for positioning a module on an object,Albuquerque  NM,NM,USA,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=0&f=S&l=50&d=PALL&Query=ref/7260918,no abstract or claims,,,,
pat0020,7274975,2007,Solar Monitoring,Optimized energy management system,Washington  DC,DC,USA,http://www.google.com/patents?id=J22EAAAAEBAJ&zoom=4&dq=%22solar%20inverter%22&pg=PA1#v=onepage&q=%22solar%20inverter%22&f=false,invalid url,,,,
pat0021,7297866,2007,Solar Mounting/Rack  ,Ventilated photovoltaic module frame,San Jose  CA,CA,USA,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=110&f=G&l=50&d=PTXT&s1=%28mounting.CLTX.+or+mounting.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=3&OS=ACLM/mounting+AND+ACLM/,invalid url,,,,
pat0022,7305983,2007,Site Assessment,Assessment of solar energy potential on existing buildings in a region ,Honolulu  HI,HI, USA,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=505&f=G&l=50&d=PTXT&s1=%28%28%28solar.CLTX.+or+solar.DCTX.%29+OR+%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29%29+AND+%28%28%28%28%28%28%28%28%28mapping.CLTX.+or+mapping.DCTX.%29+OR+%28estimation.CLTX.+or+estimation.DCTX.%29%29+OR+%28obstruction.CLTX.+or+obstruction.DCTX.%29%29+OR+%28potential.CLTX.+or+potential.DCTX.%29%29+OR+%28site.CLTX.+or+site.DCTX.%29%29+OR+%28terrain.CLTX.+or+terrain.DCTX.%29%29+OR+%28access.CLTX.+or+access.DCTX.%29%29+OR+%28azimuth.CLTX.+or+azimuth.DCTX.%29%29+OR+%28survey.CLTX.+or+survey.DCTX.%29%29%29&p=11&OS=+%28%28ACLM/solar+OR+ACLM/photovoltaic%29+AND+%28%28%28%28%28%28%28%28ACLM/mapping+OR+ACLM/estimation%29+OR+ACLM/obstruction%29+OR+ACLM/potential%29+OR+ACLM/site%29+OR+ACLM/terrain%29+OR+ACLM/access%29+OR+ACLM/azimuth%29+OR+ACLM/survey%29%29&RS=%28%28ACLM/solar+OR+ACLM/photovoltaic%29+AND+%28%28%28%28%28%28%28%28ACLM/mapping+OR+ACLM/estimation%29+OR+ACLM/obstruction%29+OR+ACLM/potential%29+OR+ACLM/site%29+OR+ACLM/terrain%29+OR+ACLM/access%29+OR+ACLM/azimuth%29+OR+ACLM/survey%29%29,invalid url,,,,
pat0023,7307209,2007,Solar Mounting/Rack  ,Photovoltaic array ,Perrysburg  OH,OH,USA,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=109&f=G&l=50&d=PTXT&s1=%28mounting.CLTX.+or+mounting.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=3&OS=ACLM/mounting+AND+ACLM/,invalid url,,,,
pat0024,7310052,2007,Solar Monitoring,Wireless meter-reading system and methods thereof ,Henderson  NV,NV,USA,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PALL&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.htm&r=1&f=G&l=50&s1=7310052.PN.&OS=PN/7310052&RS=PN/7310052,valid,G01D 4/004 (20130101); H04Q 9/00 (20130101); Y02B 90/242 (20130101); Y04S 20/322 (20130101); Y04S 20/46 (20130101),Y04S,G01D,H04Q
pat0025,7324361,2008,Solar Inverter,Solar array inverter with maximum power tracking,Torrance  CA,CA,USA,http://www.google.com/patents?id=H5WnAAAAEBAJ&zoom=4&dq=Solar%20Racking&pg=PA1#v=onepage&q&f=false,invalid url,,,,
pat0026,7333916,2008,Solar Monitoring,Performance monitor for a photovoltaic supply ,Warrenville  IL,IL,USA,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PALL&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.htm&r=1&f=G&l=50&s1=7333916.PN.&OS=PN/7333916&RS=PN/7333916,valid,G01R 31/405 (20130101),G01R,,
pat0027,7336201,2008,Solar Monitoring,Remote access energy meter system and method,Mineola  NY,NY,USA,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PALL&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.htm&r=1&f=G&l=50&s1=7336201.PN.&OS=PN/7336201&RS=PN/7336201,valid,G01D 4/004 (20130101); H04Q 9/00 (20130101); Y02B 90/242 (20130101); Y04S 20/322 (20130101),G01D,H04Q,Y04S
pat0028,7338311,2008,Solar Inverter,Protective device for a load current carrying apparatus ,Niestetal,,Germany,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=129&f=G&l=50&d=PTXT&s1=%28inverter.CLTX.+or+inverter.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=3&OS=ACLM/inverter+AND+ACLM/,valid,H01L 31/048 (20130101); H01L 31/0522 (20130101); H01L 27/1422 (20130101); H01L 31/02021 (20130101); Y02B 10/12 (20130101); Y02E 10/52 (20130101),H01L,Y02E,Y02B
pat0029,7352549,2008,Solar Inverter,Method of automatically recognizing an electrical system,Niestetal,,Germany,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=128&f=G&l=50&d=PTXT&s1=%28inverter.CLTX.+or+inverter.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=3&OS=ACLM/inverter+AND+ACLM/,valid,H02J 3/26 (20130101); Y02E 40/50 (20130101),Y02E,H02J,
pat0030,7365266,2008,Solar Mounting/Rack  ,Method and system for mounting photovoltaic material,Auburn Hills  MI,MI,USA,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=106&f=G&l=50&d=PTXT&s1=%28mounting.CLTX.+or+mounting.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=3&OS=ACLM/mounting+AND+ACLM/,invalid url,,,,
pat0031,7372709,2008,Solar Inverter,Power conditioning system for energy sources,Chicago  IL,IL,USA,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=5&f=G&l=50&d=PALL&S1=7372709&OS=7372709&RS=7372709,valid,H02M 5/458 (20130101); H02M 7/5387 (20130101); H02M 2001/007 (20130101),H02M,,
pat0032,7394237,2008,Solar Monitoring,Maximum power point tracking method and tracking device thereof for a solar power system ,Taipei Hsien,N/A,Taiwan,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PALL&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.htm&r=1&f=G&l=50&s1=7394237.PN.&OS=PN/7394237&RS=PN/7394237,valid,G05F 1/67 (20130101); H02M 1/42 (20130101); H02M 3/157 (20130101); Y02B 70/12 (20130101),H02M,Y02B,G05F
pat0033,7397653,2008,Solar Inverter,Inverter design ,Bend  OR,OR,USA,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=125&f=G&l=50&d=PTXT&s1=%28inverter.CLTX.+or+inverter.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=3&OS=ACLM/inverter+AND+ACLM/,valid,H01L 31/0485 (20130101); Y02E 10/50 (20130101),Y02E,H01L,
pat0034,7406800,2008,Solar Mounting/Rack,Mounting system for a solar panel,Saratoga  CA,USA,USA,http://patft.uspto.gov/netacgi/nph-Parser?Sect2=PTO1&Sect2=HITOFF&p=1&u=/netahtml/PTO/search-bool.html&r=1&f=G&l=50&d=PALL&RefSrch=yes&Query=PN/7406800,valid,F24J 2/5211 (20130101); F24J 2/5262 (20130101); H01L 31/0422 (20130101); H01L 31/0482 (20130101); F24J 2/4638 (20130101); F24J 2002/5279 (20130101); Y02B 10/12 (20130101); Y02B 10/20 (20130101); Y02E 10/47 (20130101); Y02E 10/50 (20130101),F24J,Y02E,H01L
pat0035,7411802,2008,Solar Inverter,Method of converting a direct current voltage from a source of direct current voltage  more specifically from a photovoltaic source of direct current voltage  into a alternating current voltage ,Niestetal,,Germany,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=123&f=G&l=50&d=PTXT&s1=%28inverter.CLTX.+or+inverter.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=3&OS=ACLM/inverter+AND+ACLM/,invalid url,,,,
pat0036,7414870,2008,Solar Inverter,Inverter,Ludenscheid,,Germany,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=122&f=G&l=50&d=PTXT&s1=%28inverter.CLTX.+or+inverter.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=3&OS=ACLM/inverter+AND+ACLM/,valid,F24J 2/36 (20130101); F24J 2/542 (20130101); H01L 31/0422 (20130101); H01L 31/045 (20130101); H01M 10/465 (20130101); H02J 7/355 (20130101); F24J 2/523 (20130101); F24J 2002/5489 (20130101); H01M 2/1016 (20130101); Y02B 10/14 (20130101); Y02B 10/20 (20130101); Y02E 10/47 (20130101); Y02E 10/50 (20130101); Y02E 60/12 (20130101),F24J,Y02E,H01L
pat0037,7432618,2008,Solar Inverter,Inverter Anti-Islanding Method,Bend OR,OR,USA,http://www.google.com/patents?id=gzCuAAAAEBAJ&zoom=4&dq=%22solar%20inverter%22&pg=PA1#v=onepage&q=%22solar%20inverter%22&f=false,invalid url,,,,
pat0038,7433215,2008,Solar Inverter,Inverter startup algorithm ,Bend  OR,OR,USA,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=120&f=G&l=50&d=PTXT&s1=%28inverter.CLTX.+or+inverter.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=3&OS=ACLM/inverter+AND+ACLM/,valid,H02J 3/382 (20130101); H02J 2003/388 (20130101); Y02E 10/563 (20130101),H02J,Y02E,
pat0039,7434362,2008,Solar Mounting/Rack  ,System for removably and adjustably mounting a device on a surface,Albuquerque  NM,NM,USA,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=100&f=G&l=50&d=PTXT&s1=%28mounting.CLTX.+or+mounting.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=2&OS=ACLM/mounting+AND+ACLM/,invalid url,,,,
pat0040,7435134,2008,Solar Mounting/Rack  ,Photovoltaic module mounting clip with integral grounding,Richmond  CA,CA,USA,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=99&f=G&l=50&d=PTXT&s1=%28mounting.CLTX.+or+mounting.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=2&OS=ACLM/mounting+AND+ACLM/p,invalid url,,,,
pat0041,7435897,2008,Solar Mounting/Rack  ,Apparatus and method for mounting photovoltaic power generating systems on buildings ,Billerica  MA,MA,USA,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=98&f=G&l=50&d=PTXT&s1=%28mounting.CLTX.+or+mounting.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=2&OS=ACLM/mounting+AND+ACLM/p,invalid url,,,,
pat0042,7465872,2008,Solar Inverter,Photovoltaic power converter system with a controller configured to actively compensate load harmonics ,Niskayuna  NY,NY,USA,http://patft.uspto.gov/netacgi/nph-Parser?Sect2=PTO1&Sect2=HITOFF&p=1&u=/netahtml/PTO/search-bool.html&r=1&f=G&l=50&d=PALL&RefSrch=yes&Query=PN/7465872,valid,H02J 3/01 (20130101); H02J 3/382 (20130101); Y02B 10/14 (20130101); Y02E 10/563 (20130101); Y02E 40/40 (20130101),Y02E,H02J,Y02E
pat0043,7471073,2008,Solar Inverter,Method of finding a maximum power of a photovoltaic generator ,Niestetal,,Germany,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=117&f=G&l=50&d=PTXT&s1=%28inverter.CLTX.+or+inverter.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=3&OS=ACLM/inverter+AND+ACLM/,valid,G05F 1/67 (20130101); Y02B 10/14 (20130101),Y02B,G05F,
pat0044,7476832,2009,Solar Mounting/Rack  ,Seasonally adjustable mounting system for solar panels having dual motor assembly ,Hoffman Estates  IL,IL,USA,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=27&f=G&l=50&co1=AND&d=PTXT&s1=mounting.TI.&s2=solar.TI.&OS=TTL/mounting+AND+TTL/solar&RS=TTL/mounting+AND+TTL/solar,valid,F24J 2/045 (20130101); F24J 2/5211 (20130101); F24J 2/5245 (20130101); F24J 2/5264 (20130101); H01L 31/0422 (20130101); H01L 31/0482 (20130101); F24J 2002/4669 (20130101); Y02B 10/12 (20130101); Y02B 10/20 (20130101); Y02E 10/44 (20130101); Y02E 10/47 (20130101); Y02E 10/50 (20130101),F24J,Y02E,H01L
pat0045,7479774,2009,Solar Inverter,High-performance solar photovoltaic PV energy conversion system ,Taoyuan ,,Taiwan,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=115&f=G&l=50&d=PTXT&s1=%28inverter.CLTX.+or+inverter.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=3&OS=ACLM/inverter+AND+ACLM/,valid,H02M 7/003 (20130101); Y02E 10/56 (20130101),Y02E,H02M,
pat0046,7481211,2009,Solar Mounting/Rack,Solar panel mounting structure,New York  NY,NY,USA,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=26&f=G&l=50&d=PTXT&s1=mounting.TI.&s2=solar.TI.&co1=AND&p=1&OS=TTL/mounting+AND+TTL/solar&RS=TTL/mounting+AND+TTL/solar,valid,F24J 2/5233 (20130101); F24J 2/5239 (20130101); H01L 31/0422 (20130101); F24J 2/4636 (20130101); Y02E 10/47 (20130101); Y02E 10/50 (20130101),F24J,Y02E,H01L
