"PatId"	"Yeartxt"	"OrigTechArea"	"city"	"state"	"state"	"country"	"topicId"	"ourTechArea"	"origCPC1"	"origCPC2"	"origCPC3"	"ourCPCnum1"	"ourCPCnum2"	"ourCPCnum3"	"GeoCode"	"Year"	"TopicId-Id"	"count1"	"Patnum"
"pat0014"	"yr2007"	"Solar Inverter"	"Tokyo"	"N/A"	"N/A"	"Japan"	11	"Solar Inverter"	"H01L"	"Y02E"	"G08B"	"Y02E"	"H02J"	"G05F"	"jp"	2007	"topic-11"	1	"num-7161082"
"pat0125"	"yr2010"	"Solar Mounting/Rack"	"Kensington  MD"	"MD"	"MD"	"USA"	4	"Solar Mounting/Rack"	"E04D"	"H01L"	"E04D"	"Y02B"	"H01L"	"Y02E"	"MD"	2010	"topic-04"	1	"num-7858874"
"pat0821"	"yr2012"	"Solar Inverter"	"Perrysburg  OH"	"OH"	"OH"	"USA"	8	"Solar Inverter"				"H01L"	"Y02E"	"Y02B"	"OH"	2012	"topic-08"	1	"num-13/457 155"
"pat0182"	"yr2011"	"Solar Monitoring"	"San Diego  CA"	"CA"	"CA"	"USA"	5	"Solar Monitoring"	"H02H"	"Y02E"	"G06Q"	"Y04S"	"G06Q"	"Y02E"	"SOCAL"	2011	"topic-05"	1	"num-8024077"
"pat0707"	"yr2012"	"Solar Mounting/Rack"	"St. Michael"	"N/A"	"N/A"	"Austria"	12	"Solar Mounting/Rack"	"Y02E"	"H01L"	"Y02B"	"Y02E"	"H01L"	"F24J"	"europe"	2012	"topic-12"	1	"num-13/168 164"
"pat0431"	"yr2010"	"Solar Monitoring"	"Santa Clara  CA"	"CA"	"CA"	"USA"	6	"Solar Inverter"	"Y02E"	"H01L"	"G05F"	"H02J"	"Y02E"	"H02M"	"Bay_Area"	2010	"topic-06"	1	"num-12/403 339"
"pat0439"	"yr2010"	"Solar Mounting/Rack"	"Westford  MA"	"USA"	"USA"	"USA"	2	"Solar Mounting/Rack"	"H01L"	"F24J"	"Y02B"	"F24J"	"Y02E"	"H01L"	"USA"	2010	"topic-02"	1	"num-12/450 001"
"pat0562"	"yr2012"	"Solar Monitoring"	"Palatine  IL"	"IL"	"IL"	"USA"	11	"Solar Inverter"	"G01R"	"H01L"	"H02J"	"Y02E"	"H02J"	"G05F"	"IL"	2012	"topic-11"	1	"num-12/857 778"
"pat0520"	"yr2011"	"Solar Inverter"	"Sarriguren"	"N/A"	"N/A"	"Spain"	0	"Solar Inverter"	"H02M"	"Y02E"	"H02J"	"H02M"	"Y02E"	"H02J"	"europe"	2011	"topic-00"	1	"num-12/745 345"
"pat0516"	"yr2010"	"Solar Monitoring"	"Pettenbach"	"N/A"	"N/A"	"Austria"	6	"Solar Inverter"	"G01R"	"Y02E"	"H01L"	"H02J"	"Y02E"	"H02M"	"europe"	2010	"topic-06"	1	"num-12/733 391"
"pat0712"	"yr2012"	"Solar Inverter"	"Fort Collins  CO"	"CO"	"CO"	"USA"	1	"Site Assessment"	"H02J"			"G01W"	"G06Q"	"G01R"	"CO"	2012	"topic-01"	1	"num-13/181 216"
"pat0045"	"yr2009"	"Solar Inverter"	"Taoyuan"	"N/A"	"N/A"	"Taiwan"	0	"Solar Inverter"	"H02M"	"Y02E"	"Y02B"	"H02M"	"Y02E"	"H02J"	"asia"	2009	"topic-00"	1	"num-7479774"
"pat0026"	"yr2008"	"Solar Monitoring"	"Warrenville  IL"	"IL"	"IL"	"USA"	6	"Solar Inverter"	"G01R"			"H02J"	"Y02E"	"H02M"	"IL"	2008	"topic-06"	1	"num-7333916"
"pat0623"	"yr2012"	"Solar Mounting/Rack"	"San Jose  CA"	"CA"	"CA"	"USA"	12	"Solar Mounting/Rack"				"Y02E"	"H01L"	"F24J"	"Bay_Area"	2012	"topic-12"	1	"num-12/977 006"
"pat0734"	"yr2012"	"Solar Monitoring"	"Los Gatos  CA"	"CA"	"CA"	"USA"	5	"Solar Monitoring"	"G01R"	"G06Q"	"G05F"	"Y04S"	"G06Q"	"Y02E"	"Bay_Area"	2012	"topic-05"	1	"num-13/227 777"
"pat0457"	"yr2011"	"Solar Monitoring"	"Newark  CA"	"CA"	"CA"	"USA"	5	"Solar Monitoring"	"H04Q"	"Y02E"	"H01L"	"Y04S"	"G06Q"	"Y02E"	"Bay_Area"	2011	"topic-05"	1	"num-12/542 524"
"pat0094"	"yr2010"	"Solar Monitoring"	"Stafford  TX"	"TX"	"TX"	"USA"	12	"Solar Mounting/Rack"	"H01M"	"Y02E"	"H01L"	"Y02E"	"H01L"	"F24J"	"TX"	2010	"topic-12"	1	"num-7795837"
"pat0775"	"yr2012"	"Solar Mounting/Rack"	"Mascoutah  IL"	"IL"	"IL"	"USA"	2	"Solar Mounting/Rack"	"F24J"	"F16B"	"F24J"	"F24J"	"Y02E"	"H01L"	"IL"	2012	"topic-02"	1	"num-13/331 826"
"pat0843"	"yr2012"	"Solar Inverter"	"Altdorf"	"N/A"	"N/A"	"Germany"	9	"Solar Mounting/Rack"	"H01H"			"H01L"	"Y02E"	"H01R"	"germany"	2012	"topic-09"	1	"num-13/537 918"
"pat0090"	"yr2010"	"Solar Inverter"	"Menlo Park  CA"	"CA"	"CA"	"USA"	6	"Solar Inverter"	"Y02E"	"H01L"		"H02J"	"Y02E"	"H02M"	"Bay_Area"	2010	"topic-06"	1	"num-7772716"
"pat0836"	"yr2012"	"Solar Inverter"	"Austin  TX"	"TX"	"TX"	"USA"	7	"Solar Inverter"				"Y02E"	"H02J"	"H01L"	"TX"	2012	"topic-07"	1	"num-13/492 084"
"pat0530"	"yr2010"	"Solar Mounting/Rack"	"Mountain View  CA"	"CA"	"CA"	"USA"	13	"Solar Mounting/Rack"	"H01L"	"Y02E"		"H01L"	"Y02E"	"F24J"	"Bay_Area"	2010	"topic-13"	1	"num-12/784 360"
"pat0524"	"yr2011"	"Solar Inverter"	"Fort Collins  CO"	"CO"	"CO"	"USA"	9	"Solar Mounting/Rack"	"H02H"	"Y02E"		"H01L"	"Y02E"	"H01R"	"CO"	2011	"topic-09"	1	"num-12/759 652"
"pat0768"	"yr2012"	"Solar Mounting/Rack"	"San Rafeal  CA"	"CA"	"CA"	"USA"	14	"Solar Mounting/Rack"	"F24J"	"Y02E"	"H01L"	"F24J"	"Y02E"	"H01L"	"Bay_Area"	2012	"topic-14"	1	"num-13/317 142"
"pat0319"	"yr2005"	"Solar Inverter"	"Eindhoven"	"N/A"	"N/A"	"Netherlands"	5	"Solar Monitoring"				"Y04S"	"G06Q"	"Y02E"	"europe"	2005	"topic-05"	1	"num-10/516 646"
"pat0586"	"yr2011"	"Solar Mounting/Rack"	"Midland  MI"	"MI"	"MI"	"USA"	8	"Solar Inverter"	"Y02E"	"H01L"	"Y02B"	"H01L"	"Y02E"	"Y02B"	"MI"	2011	"topic-08"	1	"num-12/908 055"
"pat0432"	"yr2009"	"Solar Mounting/Rack"	"Jacksonville  FL"	"FL"	"FL"	"USA"	14	"Solar Mounting/Rack"	"F24J"	"Y02E"	"H01L"	"F24J"	"Y02E"	"H01L"	"FL"	2009	"topic-14"	1	"num-12/404 546"
"pat0390"	"yr2010"	"Solar Monitoring"	"Santa Clara  CA"	"CA"	"CA"	"USA"	5	"Solar Monitoring"	"G06Q"	"Y04S"		"Y04S"	"G06Q"	"Y02E"	"Bay_Area"	2010	"topic-05"	1	"num-12/172 221"
"pat0599"	"yr2011"	"Solar Mounting/Rack"	"Toledo  OH"	"OH"	"OH"	"USA"	4	"Solar Mounting/Rack"	"H01L"	"Y02E"	"F24J"	"Y02B"	"H01L"	"Y02E"	"OH"	2011	"topic-04"	1	"num-12/942 404"
"pat0034"	"yr2008"	"Solar Mounting/Rack"	"Saratoga  CA"	"USA"	"USA"	"USA"	12	"Solar Mounting/Rack"	"F24J"	"Y02E"	"H01L"	"Y02E"	"H01L"	"F24J"	"USA"	2008	"topic-12"	1	"num-7406800"
"pat0363"	"yr2008"	"Solar Mounting/Rack"	"San Jose  CA"	"CA"	"CA"	"USA"	14	"Solar Mounting/Rack"	"H01L"	"Y02E"		"F24J"	"Y02E"	"H01L"	"Bay_Area"	2008	"topic-14"	1	"num-11/924 594"
